epoch,train_loss,val_loss,split,model
1,6.6721847625005815,6.848978042602539,split_02,usad
2,3.280451984632583,6.767904758453369,split_02,usad
3,2.1814341147740683,6.625067710876465,split_02,usad
4,1.5672417311441331,6.412628173828125,split_02,usad
5,1.2199625628335136,6.229558944702148,split_02,usad
6,0.9928464293479919,6.087754726409912,split_02,usad
7,0.8949716006006513,6.114977836608887,split_02,usad
8,0.9255921500069755,7.690847873687744,split_02,usad
9,0.8314373095830282,6.667280673980713,split_02,usad
10,0.9458933841614496,10.593664169311523,split_02,usad
11,2.9954343977428617,51.045127868652344,split_02,usad
