policy,events,detected_events,event_recall,false_alarm_events,normal_exposure_hours,false_alarms_per_hour,median_detection_delay_s,confusion_flight,flight_tp,flight_fn,flight_fp,flight_tn
critical,18,2,0.1111111111111111,3,0.3138888888888889,9.557522123893806,49.0,"{'tp': 2, 'fn': 16, 'fp': 0, 'tn': 3}",2,16,0,3
advisory,18,5,0.2777777777777778,3,0.3138888888888889,9.557522123893806,23.000000000000007,"{'tp': 5, 'fn': 13, 'fp': 0, 'tn': 3}",5,13,0,3
