policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,137,0.5780590717299579
advisory,HIL,Motor,744,439,0.5900537634408602
advisory,HIL,Propeller,387,319,0.8242894056847545
advisory,HIL,Sensor,552,192,0.34782608695652173
advisory,HIL,Voltage,30,7,0.23333333333333334
advisory,Real,Motor,196,71,0.3622448979591837
advisory,Real,Sensor,158,12,0.0759493670886076
advisory,SIL,Load,237,174,0.7341772151898734
advisory,SIL,Motor,744,657,0.8830645161290323
advisory,SIL,Propeller,354,334,0.943502824858757
advisory,SIL,Sensor,552,236,0.427536231884058
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,115,0.48523206751054854
critical,HIL,Motor,744,297,0.39919354838709675
critical,HIL,Propeller,387,268,0.6925064599483204
critical,HIL,Sensor,552,153,0.27717391304347827
critical,HIL,Voltage,30,4,0.13333333333333333
critical,Real,Motor,196,55,0.28061224489795916
critical,Real,Sensor,158,0,0.0
critical,SIL,Load,237,161,0.679324894514768
critical,SIL,Motor,744,575,0.7728494623655914
critical,SIL,Propeller,354,314,0.8870056497175142
critical,SIL,Sensor,552,193,0.3496376811594203
critical,SIL,Voltage,30,9,0.3
