epoch,train_loss,validation_loss
1,0.6960354066100614,2.8686020487830755
2,0.3529234584549378,2.735208522705805
3,0.24148793474867425,2.650225673403059
4,0.20549335582502956,3.348376909891764
5,0.2431466170426073,3.1026413100106374
6,0.1723827494115665,3.840608585448492
7,0.17903769411917392,3.340340330487206
8,0.1591438788406808,3.5742259933834983
9,0.15522128626190382,3.3525884605589367
10,0.13571627170875156,3.015003726595924
11,0.13351698506238133,3.4391874131702243
12,0.10455674049926215,4.057991493315924
