split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,external_position_anomaly,50,3,0.06,8,0.7340355269444444,10.898655046440934,14.35645733333333,27.02733099999999
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,mechanical_fault,43,0,0.0,1,1.299568493888889,0.7694861830695462,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,normal,0,0,,16,6.7653268580555554,2.36500029277205,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,altitude_anomaly,114,1,0.008771929824561403,0,1.4421181852777778,0.0,33.043271000000004,33.043271000000004
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,external_position_anomaly,50,28,0.56,42,0.7340355269444444,57.21793899381491,17.616922964285703,39.08921699999996
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,global_position_anomaly,51,28,0.5490196078431373,57,0.6878973927777778,82.86119499571005,10.533596321428574,36.97577600000001
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,mechanical_fault,43,0,0.0,5,1.299568493888889,3.847430915347731,,
split_00,0,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,normal,0,0,,64,6.7653268580555554,9.4600011710882,,
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,altitude_anomaly,114,1,0.008771929824561403,8,1.4421181852777778,5.5473955475147525,0.0,0.0
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,external_position_anomaly,50,2,0.04,2,0.7340355269444444,2.7246637616102336,25.5065174999999,28.125034000000003
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,global_position_anomaly,51,5,0.09803921568627451,9,0.6878973927777778,13.083346578270008,48.226854199999984,123.04627299999993
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,mechanical_fault,43,10,0.23255813953488372,25,1.299568493888889,19.237154576738654,10.195926400000005,27.074017999999995
split_00,0,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,normal,0,0,,16,6.7653268580555554,2.36500029277205,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
