split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,258,10,0.03875968992248062,38,10.928946456944445,3.477004864988988,36.17606739999996,163.92393300000003
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,258,5,0.01937984496124031,55,10.928946456944445,5.032507041431431,21.912615600000002,33.531859999999995
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,advisory,4.0,258,31,0.12015503875968993,101,10.928946456944445,9.241512930628627,7.489795774193546,37.999277000000035
split_00,0,existing_fusion,sistem,dengeli,cusum,advisory,8.0,258,56,0.21705426356589147,163,10.928946456944445,14.914520868242239,14.916883892857134,41.066805999999985
split_00,0,itki_komutu,mekanik,dengeli,cusum,advisory,4.0,258,24,0.09302325581395349,99,10.928946456944445,9.058512674576574,12.463573541666657,79.95239599999991
split_00,0,existing_fusion,sistem,esit,threshold,critical,1.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,itki_komutu,mekanik,esit,threshold,critical,1.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,sistem,esit,k_of_n,critical,1.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,itki_komutu,mekanik,esit,k_of_n,critical,1.0,258,2,0.007751937984496124,8,10.928946456944445,0.732001024208208,20.524343499999993,27.02733099999999
split_00,0,existing_fusion,sistem,esit,cusum,critical,1.0,258,33,0.12790697674418605,38,10.928946456944445,3.477004864988988,26.426483424242427,77.12875600000001
split_00,0,itki_komutu,mekanik,esit,cusum,critical,1.0,258,12,0.046511627906976744,40,10.928946456944445,3.6600051210410403,30.671155416666636,155.01987599999984
split_00,0,existing_fusion,sistem,esit,threshold,advisory,6.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,itki_komutu,mekanik,esit,threshold,advisory,6.0,258,5,0.01937984496124031,65,10.928946456944445,5.94750832169169,21.912615600000002,33.531859999999995
