policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,130,0.5485232067510548
advisory,HIL,Motor,744,135,0.1814516129032258
advisory,HIL,Propeller,387,178,0.4599483204134367
advisory,HIL,Sensor,552,198,0.358695652173913
advisory,HIL,Voltage,30,5,0.16666666666666666
advisory,Real,Motor,196,64,0.32653061224489793
advisory,Real,Sensor,158,65,0.41139240506329117
advisory,SIL,Load,237,137,0.5780590717299579
advisory,SIL,Motor,744,110,0.1478494623655914
advisory,SIL,Propeller,354,179,0.5056497175141242
advisory,SIL,Sensor,552,141,0.2554347826086957
advisory,SIL,Voltage,30,3,0.1
critical,HIL,Load,237,129,0.5443037974683544
critical,HIL,Motor,744,125,0.16801075268817203
critical,HIL,Propeller,387,175,0.45219638242894056
critical,HIL,Sensor,552,194,0.35144927536231885
critical,HIL,Voltage,30,5,0.16666666666666666
critical,Real,Motor,196,6,0.030612244897959183
critical,Real,Sensor,158,13,0.08227848101265822
critical,SIL,Load,237,135,0.569620253164557
critical,SIL,Motor,744,96,0.12903225806451613
critical,SIL,Propeller,354,165,0.4661016949152542
critical,SIL,Sensor,552,134,0.2427536231884058
critical,SIL,Voltage,30,3,0.1
