policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,1180,0.2795546079128169,1180,3041,2,98,1.199000832639467,1.1086755674716038,13.972162740899355
advisory,4221,1345,0.3186448708836769,1345,2876,17,83,14.987510407993339,7.130305610405609,14.21306209850107
