epoch,train_loss,val_loss
1,16.847727316181835,2335.778076171875
2,16.43716388795434,2334.474365234375
3,16.210626131150782,2332.90185546875
4,15.986542623217513,2331.309814453125
5,15.755929036838252,2330.15478515625
6,15.622760354018792,2329.508056640625
7,15.566299057588346,2329.571044921875
8,15.529106584990897,2331.38427734375
9,15.449644914487513,2329.45751953125
10,15.3997256232471,2330.4150390625
11,15.435428296647421,2331.09033203125
12,15.432042319600175,2327.525146484375
13,15.359831591931785,2327.23388671875
14,15.313575410261386,2327.04443359375
15,15.267861959410876,2326.818603515625
16,15.232203905175371,2326.616455078125
17,15.210912309041838,2326.5751953125
18,15.209033902098493,2326.31640625
19,15.183450474971679,2326.04443359375
20,15.183250491212053,2325.9208984375
21,15.145208262815707,2325.771484375
22,15.134809261415063,2325.927001953125
23,15.140010185358001,2326.89501953125
24,15.120189375993682,2326.467529296875
25,15.13422666235668,2325.767333984375
26,15.06196671288188,2325.78271484375
27,15.044462160366338,2325.100830078125
28,15.059207107962632,2325.261474609375
29,15.028799115157708,2325.15283203125
30,15.003271274450348,2324.43896484375
31,14.955392192049723,2324.5400390625
32,14.97891459813932,2325.269287109375
33,14.944558012776259,2325.063720703125
34,14.937022331284314,2325.049072265625
35,29.437210402837614,2324.957275390625
