policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,43,34,0.7906976744186046
advisory,HIL,Motor,243,243,1.0
advisory,HIL,Propeller,81,81,1.0
advisory,HIL,Sensor,51,23,0.45098039215686275
advisory,Real,Motor,23,12,0.5217391304347826
advisory,Real,Sensor,94,7,0.07446808510638298
advisory,SIL,Motor,243,146,0.6008230452674898
advisory,SIL,Propeller,129,123,0.9534883720930233
advisory,SIL,Sensor,46,8,0.17391304347826086
advisory,SIL,Voltage,12,7,0.5833333333333334
critical,HIL,Load,43,3,0.06976744186046512
critical,HIL,Motor,243,23,0.09465020576131687
critical,HIL,Propeller,81,14,0.1728395061728395
critical,HIL,Sensor,51,9,0.17647058823529413
critical,Real,Motor,23,3,0.13043478260869565
critical,Real,Sensor,94,1,0.010638297872340425
critical,SIL,Motor,243,8,0.03292181069958848
critical,SIL,Propeller,129,21,0.16279069767441862
critical,SIL,Sensor,46,0,0.0
critical,SIL,Voltage,12,4,0.3333333333333333
