candidate,rotation,policy,event_recall,all_nonfault_fa_per_hour,wind_fa_per_hour,real_motor_recall,real_sensor_recall,real_macro_recall,real_normal_fa_per_hour,real_normal_alarm_flight_rate
W1,0,critical,0.3105899076048329,2.67322997323177,23.674865184795472,0.2448979591836734,0.2341772151898734,0.2395375871867734,15.98224195338513,0.3
W1,0,advisory,0.6552949538024165,10.153962237033578,40.48401946600026,0.3418367346938775,0.3987341772151899,0.3702854559545337,59.93340732519423,0.85
W1,1,critical,0.0262970859985785,1.0779734099892202,0.0,0.1020408163265306,0.1645569620253164,0.1332988891759235,0.0,0.0
W1,1,advisory,0.2677090736792229,1.7463169241825365,3.5240722612797013,0.1530612244897959,0.189873417721519,0.1714673211056574,0.0,0.0
W1,2,critical,0.0793650793650793,0.6070716621598019,8.378588052754072,0.2806122448979591,0.0,0.1403061224489795,0.0,0.0
W1,2,advisory,0.3854536839611466,2.038026294393621,21.41194724592708,0.3622448979591837,0.0759493670886076,0.2190971325238956,0.0,0.0
W1,3,critical,0.0710732054015636,6.043368779551095,4.81798715203426,0.3418367346938775,0.379746835443038,0.3607917850684577,37.95782463928968,0.6
W1,3,advisory,0.3619995261786307,7.760728972301226,22.88543897216274,0.3061224489795918,0.3987341772151899,0.3524283130973908,47.94672586015538,0.9
W1,4,critical,0.0518834399431414,2.31197062779454,2.3977620887171973,0.2244897959183673,0.3227848101265823,0.2736373030224748,6.474820143884893,0.0909090909090909
W1,4,advisory,0.4280976072020848,2.4864589770620524,24.69694951378713,0.2448979591836734,0.3670886075949367,0.3059932833893051,6.474820143884893,0.0909090909090909
