epoch,train_loss,validation_loss,is_best,epochs_without_improvement
0,,8.403168678283691,True,0
1,4.675194263458252,8.539172172546387,False,1
2,4.640964349110921,8.33612060546875,True,0
3,4.624460697174072,8.217283248901367,True,0
4,4.623213291168213,8.215381622314453,True,0
5,4.607839425404866,8.218835830688477,False,1
6,4.607982794443767,8.16473388671875,True,0
7,4.601870854695638,8.17760944366455,False,1
8,4.59490950902303,8.211888313293457,False,2
9,4.586512724558513,8.20605754852295,False,3
10,4.590182463328044,8.229758262634277,False,4
11,4.584092617034912,8.194828987121582,False,5
12,4.571374893188477,8.19164752960205,False,6
13,4.56822411219279,8.184160232543945,False,7
14,4.56126054128011,8.182952880859375,False,8
15,4.56124210357666,8.164259910583496,True,0
16,4.551289876302083,8.201570510864258,False,1
17,4.553120136260986,8.149003028869629,True,0
18,4.5426333745320635,8.147056579589844,True,0
19,4.543004512786865,8.149020195007324,False,1
20,4.537450949350993,8.128204345703125,True,0
21,4.5422102610270185,8.131393432617188,False,1
22,4.524828592936198,8.145565032958984,False,2
23,4.520829995473226,8.12335205078125,True,0
24,4.522274971008301,8.126850128173828,False,1
25,4.518888632456462,8.14141845703125,False,2
26,4.509913603464763,8.107009887695312,True,0
27,4.509737332661946,8.088417053222656,True,0
28,4.497950394948323,8.113146781921387,False,1
29,4.4977312088012695,8.09703540802002,False,2
30,4.493194103240967,8.093378067016602,False,3
31,4.492553075154622,8.078338623046875,True,0
32,4.4826310475667315,8.079018592834473,False,1
33,4.482048670450847,8.087017059326172,False,2
34,4.474164644877116,8.091683387756348,False,3
35,4.4739143053690595,8.040741920471191,True,0
36,4.468555927276611,8.05142593383789,False,1
37,4.464811325073242,8.059191703796387,False,2
38,4.4580763181050616,8.047386169433594,False,3
39,4.45906416575114,8.009745597839355,True,0
40,4.455890814463298,8.002772331237793,True,0
41,4.449423948923747,8.040803909301758,False,1
42,4.450474103291829,8.001080513000488,True,0
43,4.441797733306885,7.980907917022705,True,0
44,4.434995333353679,8.00427532196045,False,1
45,4.4418942133585615,7.993480205535889,False,2
46,4.42312494913737,7.970771789550781,True,0
47,4.424140453338623,7.9731364250183105,False,1
48,4.419262886047363,7.983296871185303,False,2
49,4.418771743774414,7.937089443206787,True,0
50,4.411624749501546,7.963069438934326,False,1
51,4.404102325439453,7.9660186767578125,False,2
52,4.40694793065389,7.95650053024292,False,3
53,4.3999325434366865,7.9169487953186035,True,0
54,4.3953010241190595,7.959164619445801,False,1
55,4.386580308278401,7.930941104888916,False,2
56,4.388564427693685,7.896162986755371,True,0
57,4.374587535858154,7.908935546875,False,1
58,4.380416552225749,7.899351596832275,False,2
59,4.368781566619873,7.9203643798828125,False,3
60,4.367710113525391,7.893965244293213,True,0
61,4.3676228523254395,7.881955623626709,True,0
62,4.360656261444092,7.898414611816406,False,1
63,4.354734102884929,7.882681369781494,False,2
64,4.357987403869629,7.864641189575195,True,0
65,4.349656422932942,7.856431484222412,True,0
66,4.345431963602702,7.873672008514404,False,1
67,4.336142857869466,7.851333141326904,True,0
68,4.336568673451741,7.859302997589111,False,1
69,4.337903658548991,7.842594623565674,True,0
70,4.33073886235555,7.825866222381592,True,0
71,4.323670228322347,7.832322120666504,False,1
72,4.331761519114177,7.8134870529174805,True,0
73,4.3209865887959795,7.839317798614502,False,1
74,4.315167268117269,7.820326328277588,False,2
75,4.306866645812988,7.797908782958984,True,0
76,4.305131753285726,7.806903839111328,False,1
77,4.294288794199626,7.779852390289307,True,0
78,4.297928015391032,7.760633945465088,True,0
79,4.294151624043782,7.755157470703125,True,0
80,4.2839202880859375,7.7676873207092285,False,1
81,4.277549107869466,7.784946441650391,False,2
82,4.279813448588054,7.754935264587402,True,0
83,4.274670759836833,7.716677188873291,True,0
84,4.271589597066243,7.738889217376709,False,1
85,4.270323594411214,7.728917121887207,False,2
86,4.266161918640137,7.723530292510986,False,3
87,4.264512221018474,7.7485833168029785,False,4
88,4.258092721303304,7.723642826080322,False,5
89,4.251156489054362,7.686436653137207,True,0
90,4.250143686930339,7.674755573272705,True,0
91,4.241838773091634,7.705175399780273,False,1
92,4.247885545094808,7.6840410232543945,False,2
93,4.2383443514506025,7.681755542755127,False,3
94,4.232372919718425,7.659902095794678,True,0
95,4.234976132710774,7.654795169830322,True,0
96,4.225360075632731,7.645878314971924,True,0
97,4.225866317749023,7.669687747955322,False,1
98,4.217069943745931,7.628904819488525,True,0
99,4.217206319173177,7.626890659332275,True,0
100,4.213460127512614,7.633045196533203,False,1
101,4.212209224700928,7.65620756149292,False,2
102,4.20659605662028,7.618034839630127,True,0
103,4.2066264152526855,7.615162372589111,True,0
104,4.194379647572835,7.570616245269775,True,0
105,4.196947733561198,7.558329105377197,True,0
106,4.1918206214904785,7.590659141540527,False,1
107,4.188355763753255,7.580784320831299,False,2
108,4.181181112925212,7.5846757888793945,False,3
109,4.1890889803568525,7.5795440673828125,False,4
110,4.178058465321858,7.562868595123291,False,5
111,4.169289429982503,7.540382385253906,True,0
112,4.165276845296224,7.546940326690674,False,1
113,4.16410493850708,7.536253929138184,True,0
114,4.151329120000203,7.533910274505615,True,0
115,4.162533601125081,7.511455059051514,True,0
116,4.1587090492248535,7.540189743041992,False,1
117,4.146024068196614,7.5163164138793945,False,2
118,4.146842320760091,7.513980865478516,False,3
119,4.14287535349528,7.521713733673096,False,4
120,4.136101722717285,7.476471424102783,True,0
121,4.133161544799805,7.492029190063477,False,1
122,4.133342425028483,7.494592189788818,False,2
123,4.126784960428874,7.5033440589904785,False,3
124,4.1261833508809405,7.477508544921875,False,4
125,4.1248674392700195,7.461391448974609,True,0
126,4.1236317952473955,7.456007957458496,True,0
127,4.109382629394531,7.4529547691345215,True,0
128,4.109442075093587,7.453059673309326,False,1
129,4.106645107269287,7.46245813369751,False,2
130,4.094981988271077,7.438318252563477,True,0
131,4.104658444722493,7.439675807952881,False,1
132,4.10387126604716,7.456103801727295,False,2
133,4.091582457224528,7.427640914916992,True,0
134,4.086405436197917,7.421499729156494,True,0
135,4.080520550409953,7.429026126861572,False,1
136,4.083625475565593,7.416569232940674,True,0
137,4.083632707595825,7.400691986083984,True,0
138,4.073765675226848,7.410984516143799,False,1
139,4.079000155131022,7.404294490814209,False,2
140,4.072223901748657,7.3887505531311035,True,0
141,4.0714231332143145,7.409167289733887,False,1
142,4.062608242034912,7.412489414215088,False,2
143,4.060474554697673,7.357528209686279,True,0
144,4.059179623921712,7.351027488708496,True,0
145,4.0495734214782715,7.374580383300781,False,1
146,4.048409541447957,7.371227264404297,False,2
147,4.040006240208943,7.347721576690674,True,0
148,4.0435787836710615,7.3472466468811035,True,0
149,4.0377200444539385,7.362579345703125,False,1
150,4.04130752881368,7.3335280418396,True,0
151,4.035845756530762,7.351343154907227,False,1
152,4.029031594594319,7.35109806060791,False,2
153,4.026767094930013,7.318145751953125,True,0
154,4.025155067443848,7.305896759033203,True,0
155,4.014370044072469,7.296016216278076,True,0
156,4.017295519510905,7.316211223602295,False,1
157,4.015999476114909,7.318869113922119,False,2
158,4.014124393463135,7.310120105743408,False,3
159,4.011835257212321,7.255960941314697,True,0
160,4.01104195912679,7.287774562835693,False,1
161,3.999382654825846,7.303285121917725,False,2
162,4.001272519429524,7.278782367706299,False,3
163,4.002221902211507,7.262808322906494,False,4
164,3.9901155630747476,7.264003753662109,False,5
165,3.9882381757100425,7.267224311828613,False,6
166,3.996051788330078,7.249793529510498,True,0
167,3.9887397289276123,7.261480331420898,False,1
168,3.984999338785807,7.235649108886719,True,0
169,3.9841336409250894,7.269256114959717,False,1
170,3.979625701904297,7.240267753601074,False,2
171,3.976554791132609,7.2251081466674805,True,0
172,3.9679527282714844,7.2296462059021,False,1
173,3.963001092274984,7.214912414550781,True,0
174,3.968470573425293,7.201713562011719,True,0
175,3.959850231806437,7.225821018218994,False,1
176,3.957769234975179,7.201991081237793,False,2
177,3.959145943323771,7.191949367523193,True,0
178,3.961336692174276,7.180421352386475,True,0
179,3.9517988363901773,7.167537689208984,True,0
180,3.9487945238749185,7.182375431060791,False,1
181,3.9502573808034263,7.194508075714111,False,2
182,3.9442741870880127,7.193760871887207,False,3
183,3.954672336578369,7.158098220825195,True,0
184,3.9416724840799966,7.149458408355713,True,0
185,3.936169703801473,7.165679931640625,False,1
186,3.92984938621521,7.153931617736816,False,2
187,3.9407169024149575,7.130945205688477,True,0
188,3.931183656056722,7.1472086906433105,False,1
189,3.9283791383107505,7.128602504730225,True,0
190,3.92744509379069,7.143457889556885,False,1
191,3.9261221885681152,7.1146674156188965,True,0
192,3.922423760096232,7.1612868309021,False,1
193,3.914879401524862,7.126291751861572,False,2
194,3.9146262804667153,7.110189437866211,True,0
195,3.918466885884603,7.112603664398193,False,1
196,3.913795073827108,7.1182541847229,False,2
197,3.913992404937744,7.091459274291992,True,0
198,3.9106194972991943,7.09102201461792,True,0
199,3.908596992492676,7.1074700355529785,False,1
200,3.9037357171376548,7.0969157218933105,False,2
201,3.899704853693644,7.0680742263793945,True,0
