policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,158,0.6666666666666666
advisory,HIL,Motor,744,545,0.7325268817204301
advisory,HIL,Propeller,387,329,0.8501291989664083
advisory,HIL,Sensor,552,299,0.5416666666666666
advisory,HIL,Voltage,30,18,0.6
advisory,Real,Motor,196,51,0.2602040816326531
advisory,Real,Sensor,158,38,0.24050632911392406
advisory,SIL,Load,237,96,0.4050632911392405
advisory,SIL,Motor,744,280,0.3763440860215054
advisory,SIL,Propeller,354,253,0.7146892655367232
advisory,SIL,Sensor,552,129,0.23369565217391305
advisory,SIL,Voltage,30,10,0.3333333333333333
critical,HIL,Load,237,129,0.5443037974683544
critical,HIL,Motor,744,474,0.6370967741935484
critical,HIL,Propeller,387,309,0.7984496124031008
critical,HIL,Sensor,552,237,0.42934782608695654
critical,HIL,Voltage,30,11,0.36666666666666664
critical,Real,Motor,196,40,0.20408163265306123
critical,Real,Sensor,158,33,0.2088607594936709
critical,SIL,Load,237,83,0.350210970464135
critical,SIL,Motor,744,192,0.25806451612903225
critical,SIL,Propeller,354,223,0.6299435028248588
critical,SIL,Sensor,552,95,0.1721014492753623
critical,SIL,Voltage,30,8,0.26666666666666666
