candidate,rotation,policy,event_recall,all_nonfault_fa_per_hour,wind_fa_per_hour,real_motor_recall,real_sensor_recall,real_macro_recall,real_normal_fa_per_hour,real_normal_alarm_flight_rate
R4,0,critical,0.5361288794124615,2.75946319817473,33.38155991056162,0.2244897959183673,0.240506329113924,0.2324980625161457,15.98224195338513,0.3
R4,0,advisory,0.646529258469557,11.964859960835744,42.614757332631854,0.3520408163265306,0.3987341772151899,0.3753874967708602,59.93340732519423,0.85
R4,1,critical,0.3404406538734897,3.62199065756378,3.203702055708819,0.3265306122448979,0.360759493670886,0.343645052957892,6.474820143884893,0.0909090909090909
R4,1,advisory,0.5148069177919924,4.764642472152353,5.446293494704992,0.3775510204081632,0.4493670886075949,0.4134590545078791,12.949640287769784,0.1818181818181818
R4,2,critical,0.4702677090736792,0.6937961853254879,29.09231962761831,0.2448979591836734,0.0,0.1224489795918367,0.0,0.0
R4,2,advisory,0.6029376924899313,2.1030696867678853,36.074476338246704,0.3418367346938775,0.0316455696202531,0.1867411521570653,0.0,0.0
R4,3,critical,0.7867803837953091,8.217242441260122,35.412205567451814,0.3571428571428571,0.379746835443038,0.3684448462929476,35.96004439511654,0.6
R4,3,advisory,0.7990997393982469,10.086773790329886,36.13490364025696,0.3112244897959184,0.3860759493670886,0.3486502195815035,47.94672586015538,0.9
R4,4,critical,0.5970149253731343,10.905521829219529,42.68016517916611,0.3163265306122449,0.360759493670886,0.3385430121415654,6.474820143884893,0.0909090909090909
R4,4,advisory,0.6455816157308695,14.853320731396998,46.75636072998535,0.336734693877551,0.4810126582278481,0.4088736760526995,12.949640287769784,0.1818181818181818
