policy,events,detected_events,event_recall,false_alarm_events,normal_exposure_hours,false_alarms_per_hour,median_detection_delay_s,confusion_flight,flight_tp,flight_fn,flight_fp,flight_tn
critical,18,3,0.16666666666666666,2,0.3138888888888889,6.371681415929204,31.0,"{'tp': 3, 'fn': 15, 'fp': 0, 'tn': 3}",3,15,0,3
advisory,18,11,0.6111111111111112,5,0.3138888888888889,15.929203539823009,29.0,"{'tp': 11, 'fn': 7, 'fp': 0, 'tn': 3}",11,7,0,3
