,Load,Motor,Propeller,Sensor,Voltage
Load,2344,0,0,356,0
Motor,292,24435,4548,4482,3284
Propeller,0,4201,3159,672,829
Sensor,31,3126,0,6272,51
Voltage,0,320,7,236,135
