split,seed,architecture,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm,lstm_relerr,threshold,critical,393,0,0.0,8,34.15531734333333,0.2342241449430273,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,393,0,0.0,27,34.15531734333333,0.7905064891827172,,
split_00,0,lstm,lstm_relerr,cusum,critical,393,23,0.058524173027989825,134,34.15531734333333,3.9232544277957073,36.97863826086957,111.07419599999997
split_00,0,lstm,lstm_relerr,threshold,advisory,393,5,0.01272264631043257,157,34.15531734333333,4.596648844506911,31.599371200000007,71.986897
split_00,0,lstm,lstm_relerr,k_of_n,advisory,393,42,0.10687022900763359,574,34.15531734333333,16.80558239966221,12.81442773809524,51.96623799999999
split_00,0,lstm,lstm_relerr,cusum,advisory,393,83,0.21119592875318066,625,34.15531734333333,18.298761323674007,13.045397722891568,51.998351000000014
split_00,0,lstm,lstm_rankpct,threshold,critical,393,77,0.19592875318066158,517,34.15531734333333,15.136735366943139,6.944384155844156,41.060598
split_00,0,lstm,lstm_rankpct,k_of_n,critical,393,82,0.20865139949109415,505,34.15531734333333,14.785399149528597,7.667657134146341,39.07885900000001
split_00,0,lstm,lstm_rankpct,cusum,critical,393,47,0.11959287531806616,198,34.15531734333333,5.797047587339926,19.21332217021277,86.99763399999995
split_00,0,lstm,lstm_rankpct,threshold,advisory,393,154,0.39185750636132316,1984,34.15531734333333,58.08758794587077,4.438789038961037,52.026478
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,393,107,0.272264631043257,955,34.15531734333333,27.960507302573884,10.003952663551402,168.9904059999999
split_00,0,lstm,lstm_rankpct,cusum,advisory,393,96,0.24427480916030533,593,34.15531734333333,17.361864743901897,12.759869999999998,54.092416
