epoch,train_loss,val_loss,split,model
1,7.384403174573725,9.010232925415039,split_01,usad
2,3.6334315863522617,8.801508903503418,split_01,usad
3,2.359527902169661,8.510939598083496,split_01,usad
4,1.7282537574117833,8.325050354003906,split_01,usad
5,1.3625890179113909,8.220706939697266,split_01,usad
6,1.1270911747759038,8.149527549743652,split_01,usad
7,0.9605950984087858,8.070828437805176,split_01,usad
8,0.8354351628910411,8.01673412322998,split_01,usad
9,0.7344585115259344,7.853888511657715,split_01,usad
10,0.6650128960609436,7.859300136566162,split_01,usad
11,1.7421060367064043,8.358658790588379,split_01,usad
12,0.7011234326796099,9.035253524780273,split_01,usad
13,0.6374569697813555,9.247723579406738,split_01,usad
14,0.5381207682869651,9.153373718261719,split_01,usad
