policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,197,0.8312236286919831
advisory,HIL,Motor,744,699,0.9395161290322581
advisory,HIL,Propeller,387,377,0.9741602067183462
advisory,HIL,Sensor,552,367,0.6648550724637681
advisory,HIL,Voltage,30,17,0.5666666666666667
advisory,Real,Motor,196,61,0.3112244897959184
advisory,Real,Sensor,158,61,0.3860759493670886
advisory,SIL,Load,237,212,0.8945147679324894
advisory,SIL,Motor,744,721,0.9690860215053764
advisory,SIL,Propeller,354,354,1.0
advisory,SIL,Sensor,552,291,0.5271739130434783
advisory,SIL,Voltage,30,16,0.5333333333333333
critical,HIL,Load,237,198,0.8354430379746836
critical,HIL,Motor,744,688,0.9247311827956989
critical,HIL,Propeller,387,377,0.9741602067183462
critical,HIL,Sensor,552,353,0.6394927536231884
critical,HIL,Voltage,30,17,0.5666666666666667
critical,Real,Motor,196,70,0.35714285714285715
critical,Real,Sensor,158,60,0.379746835443038
critical,SIL,Load,237,209,0.8818565400843882
critical,SIL,Motor,744,714,0.9596774193548387
critical,SIL,Propeller,354,353,0.9971751412429378
critical,SIL,Sensor,552,266,0.48188405797101447
critical,SIL,Voltage,30,16,0.5333333333333333
