validation_rotation,run,policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
0,run_20260721_171549,critical,4221,2715,0.6432125088841507,2715,1506,2,98,0.9741577594371532,2.668527077701229,30.405320791996544
0,run_20260721_171549,advisory,4221,3217,0.7621416725894338,3217,1004,23,77,11.68989311324584,6.200401151129327,33.81151817890884
1,run_20260721_172221,critical,4221,2796,0.6624022743425728,2796,1425,3,88,1.4630181522622596,1.2951475574258398,32.05832834740987
1,run_20260721_172221,advisory,4221,2984,0.706941483060886,2984,1237,21,70,10.241127065835816,9.223020484699164,32.90987769413794
2,run_20260721_172719,critical,4221,2529,0.5991471215351812,2529,1692,3,87,1.6757176105508147,2.9738958035025886,28.65213096049757
2,run_20260721_172719,advisory,4221,2868,0.6794598436389481,2868,1353,19,71,10.61287820015516,4.163454124903624,31.857963795238557
3,run_20260721_173352,critical,4221,2188,0.5183605780620706,2188,2033,2,98,1.199000832639467,2.390702822357498,24.09383739860023
3,run_20260721_173352,advisory,4221,2575,0.6100450130300876,2575,1646,17,83,10.791007493755204,4.542335362479247,28.000946165940807
4,run_20260721_173944,critical,4221,2529,0.5991471215351812,2529,1692,1,90,0.6598240469208212,2.244963864544938,27.099305681169906
4,run_20260721_173944,advisory,4221,3107,0.7360814972755271,3107,1114,16,75,10.55718475073314,8.538880413358426,31.106596724596137
