split,seed,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae_recon,cusum,advisory,Actuator Controls,17,0,0.0,5,0.5114270366666666,9.776565651649067,,
split_00,0,dense_ae_recon,cusum,advisory,Actuator Outputs,25,0,0.0,7,0.7446180683333333,9.400792564257792,,
split_00,0,dense_ae_recon,cusum,advisory,Actuator Outputs+Controls,42,0,0.0,11,1.2128293091666666,9.069701661116753,,
split_00,0,dense_ae_recon,cusum,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae_recon,cusum,advisory,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae_recon,cusum,advisory,Position.X,145,44,0.30344827586206896,82,2.3575775725,34.78146422687858,17.13693788636363,64.997612
split_00,0,dense_ae_recon,cusum,advisory,Position.Y,96,27,0.28125,74,1.713746643611111,43.180245035562166,17.433686666666663,58.916042000000004
split_00,0,dense_ae_recon,cusum,advisory,Position.Z,121,5,0.04132231404958678,19,1.5845958772222224,11.99043887032369,16.607172000000002,36.09170700000001
split_00,0,dense_ae_recon,cusum,advisory,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,7.5224869999999555,8.036215999999968
split_00,0,dense_ae_ml14_fusion,threshold,critical,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Actuator Outputs+Controls,42,0,0.0,0,1.2128293091666666,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Position.X,145,0,0.0,0,2.3575775725,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Position.Y,96,0,0.0,0,1.713746643611111,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Position.Z,121,0,0.0,0,1.5845958772222224,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Actuator Outputs+Controls,42,0,0.0,0,1.2128293091666666,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Position.X,145,0,0.0,0,2.3575775725,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Position.Y,96,0,0.0,0,1.713746643611111,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Position.Z,121,0,0.0,0,1.5845958772222224,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
