split,seed,model,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,median_detection_delay_s,p95_detection_delay_s
split_00,0,lstm_ae,threshold,critical,303,104,0.3432343234323432,203,6.187320312777777,32.809033594199654,11.794091500000022,60.07665715
split_00,0,lstm_ae,k_of_n,critical,303,107,0.35313531353135313,211,6.187320312777777,34.102000435350384,12.014194000000002,60.93218219999999
split_00,0,lstm_ae,cusum,critical,303,182,0.6006600660066007,544,6.187320312777777,87.92174519824933,14.170047500000027,50.03726009999999
split_00,0,lstm_ae,threshold,advisory,303,0,0.0,318,6.187320312777777,51.395431935741335,,
split_00,0,lstm_ae,k_of_n,advisory,303,0,0.0,318,6.187320312777777,51.395431935741335,,
split_00,0,lstm_ae,cusum,advisory,303,247,0.8151815181518152,1144,6.187320312777777,184.89425828455373,8.201583999999986,42.1313622
split_00,0,dense_ae,threshold,critical,303,77,0.25412541254125415,160,6.187320312777777,25.85933682301451,19.191592999999983,65.75057600000004
split_00,0,dense_ae,k_of_n,critical,303,87,0.2871287128712871,185,6.187320312777777,29.899858201610524,16.400037999999995,69.31006880000001
split_00,0,dense_ae,cusum,critical,303,149,0.49174917491749176,435,6.187320312777777,70.30507198757068,18.706579000000005,52.191771800000005
split_00,0,dense_ae,threshold,advisory,303,0,0.0,325,6.187320312777777,52.52677792174822,,
split_00,0,dense_ae,k_of_n,advisory,303,0,0.0,325,6.187320312777777,52.52677792174822,,
split_00,0,dense_ae,cusum,advisory,303,228,0.7524752475247525,1047,6.187320312777777,169.2170353356012,9.406504999999981,46.63832860000001
split_00,0,usad,threshold,critical,303,65,0.2145214521452145,143,6.187320312777777,23.111782285569216,19.191592999999983,74.7390392
split_00,0,usad,k_of_n,critical,303,74,0.24422442244224424,176,6.187320312777777,28.445270505315957,26.254462000000018,77.67450189999994
split_00,0,usad,cusum,critical,303,141,0.46534653465346537,434,6.187320312777777,70.14345113242685,18.198814999999986,54.192474000000004
split_00,0,usad,threshold,advisory,303,1,0.0033003300330033004,336,6.187320312777777,54.30460732833046,34.79715799999997,34.79715799999997
split_00,0,usad,k_of_n,advisory,303,1,0.0033003300330033004,336,6.187320312777777,54.30460732833046,35.00289399999997,35.00289399999997
split_00,0,usad,cusum,advisory,303,213,0.7029702970297029,921,6.187320312777777,148.85280758747726,11.311334000000034,49.1431328
split_01,1,lstm_ae,threshold,critical,303,80,0.264026402640264,147,6.174733688333332,23.8066947369317,12.751339499999993,61.27779899999998
split_01,1,lstm_ae,k_of_n,critical,303,78,0.25742574257425743,149,6.174733688333332,24.130595345597435,13.446184000000006,62.006387349999976
split_01,1,lstm_ae,cusum,critical,303,156,0.5148514851485149,432,6.174733688333332,69.96253147179928,15.406237000000008,51.8460445
split_01,1,lstm_ae,threshold,advisory,303,0,0.0,316,6.174733688333332,51.17629616918651,,
split_01,1,lstm_ae,k_of_n,advisory,303,0,0.0,316,6.174733688333332,51.17629616918651,,
split_01,1,lstm_ae,cusum,advisory,303,229,0.7557755775577558,1009,6.174733688333332,163.40785707186453,8.999452000000002,44.0943754
split_01,1,dense_ae,threshold,critical,303,73,0.24092409240924093,116,6.174733688333332,18.78623530261277,19.191592999999983,64.7732538
split_01,1,dense_ae,k_of_n,critical,303,73,0.24092409240924093,123,6.174733688333332,19.91988743294285,18.110871000000067,64.777219
split_01,1,dense_ae,cusum,critical,303,146,0.48184818481848185,371,6.174733688333332,60.08356290749429,21.3568115,56.947500999999995
split_01,1,dense_ae,threshold,advisory,303,1,0.0033003300330033004,315,6.174733688333332,51.01434586485364,34.79715799999997,34.79715799999997
split_01,1,dense_ae,k_of_n,advisory,303,1,0.0033003300330033004,315,6.174733688333332,51.01434586485364,35.00289399999997,35.00289399999997
split_01,1,dense_ae,cusum,advisory,303,227,0.7491749174917491,966,6.174733688333332,156.44399398555117,9.507844000000013,44.14235500000001
split_01,1,usad,threshold,critical,303,41,0.1353135313531353,80,6.174733688333332,12.956024346629496,19.191592999999983,75.492053
split_01,1,usad,k_of_n,critical,303,39,0.12871287128712872,82,6.174733688333332,13.279924955295233,19.400300999999985,76.9780012
split_01,1,usad,cusum,critical,303,113,0.37293729372937295,369,6.174733688333332,59.75966229882855,23.002028000000003,59.77679699999999
split_01,1,usad,threshold,advisory,303,1,0.0033003300330033004,315,6.174733688333332,51.01434586485364,34.79715799999997,34.79715799999997
split_01,1,usad,k_of_n,advisory,303,1,0.0033003300330033004,315,6.174733688333332,51.01434586485364,35.00289399999997,35.00289399999997
split_01,1,usad,cusum,advisory,303,212,0.6996699669966997,939,6.174733688333332,152.0713357685637,11.412722500000028,47.6644848
split_02,2,lstm_ae,threshold,critical,303,104,0.3432343234323432,195,6.18697862611111,31.517807282707437,12.055451500000006,60.77330499999997
split_02,2,lstm_ae,k_of_n,critical,303,104,0.3432343234323432,195,6.18697862611111,31.517807282707437,12.258901499999995,60.97024485
split_02,2,lstm_ae,cusum,critical,303,139,0.45874587458745875,367,6.18697862611111,59.31812960386476,18.807626999999982,53.621539600000006
split_02,2,lstm_ae,threshold,advisory,303,0,0.0,320,6.18697862611111,51.72152989982759,,
split_02,2,lstm_ae,k_of_n,advisory,303,0,0.0,320,6.18697862611111,51.72152989982759,,
split_02,2,lstm_ae,cusum,advisory,303,213,0.7029702970297029,771,6.18697862611111,124.61656110239709,11.00033299999999,48.92249199999999
split_02,2,dense_ae,threshold,critical,303,91,0.30033003300330036,195,6.18697862611111,31.517807282707437,12.013263000000002,72.69982350000001
split_02,2,dense_ae,k_of_n,critical,303,92,0.30363036303630364,203,6.18697862611111,32.810845530203125,12.00876149999999,72.7887263
split_02,2,dense_ae,cusum,critical,303,116,0.38283828382838286,305,6.18697862611111,49.29708318577317,25.55630899999999,59.74577149999998
split_02,2,dense_ae,threshold,advisory,303,0,0.0,316,6.18697862611111,51.07501077607974,,
split_02,2,dense_ae,k_of_n,advisory,303,0,0.0,316,6.18697862611111,51.07501077607974,,
split_02,2,dense_ae,cusum,advisory,303,173,0.570957095709571,670,6.18697862611111,108.29195322776401,12.712483000000017,47.82149340000001
split_02,2,usad,threshold,critical,303,76,0.2508250825082508,147,6.18697862611111,23.759577797733296,14.396920499999997,65.21593850000002
split_02,2,usad,k_of_n,critical,303,81,0.26732673267326734,158,6.18697862611111,25.53750538803987,12.704762999999993,62.22119200000002
split_02,2,usad,cusum,critical,303,119,0.3927392739273927,316,6.18697862611111,51.07501077607974,20.710349000000043,60.7116983
split_02,2,usad,threshold,advisory,303,0,0.0,316,6.18697862611111,51.07501077607974,,
split_02,2,usad,k_of_n,advisory,303,0,0.0,316,6.18697862611111,51.07501077607974,,
split_02,2,usad,cusum,advisory,303,188,0.6204620462046204,663,6.18697862611111,107.16054476120529,12.569819999999979,51.601643200000005
split_03,3,lstm_ae,threshold,critical,303,128,0.42244224422442245,254,6.3022573474999986,40.30301937777225,10.958153999999974,53.17123155
split_03,3,lstm_ae,k_of_n,critical,303,127,0.41914191419141916,256,6.3022573474999986,40.62036598704605,11.10383299999998,53.3786288
split_03,3,lstm_ae,cusum,critical,303,130,0.429042904290429,293,6.3022573474999986,46.4912782586113,20.460315500000014,54.575612
split_03,3,lstm_ae,threshold,advisory,303,0,0.0,315,6.3022573474999986,49.98209096062307,,
split_03,3,lstm_ae,k_of_n,advisory,303,0,0.0,315,6.3022573474999986,49.98209096062307,,
split_03,3,lstm_ae,cusum,advisory,303,213,0.7029702970297029,757,6.3022573474999986,120.11569161013226,10.901380999999986,48.318197999999995
split_03,3,dense_ae,threshold,critical,303,114,0.37623762376237624,257,6.3022573474999986,40.77903929168295,12.807652000000006,54.99074154999997
split_03,3,dense_ae,k_of_n,critical,303,114,0.37623762376237624,255,6.3022573474999986,40.46169268240915,13.010958500000003,55.18963224999998
split_03,3,dense_ae,cusum,critical,303,124,0.40924092409240925,273,6.3022573474999986,43.31781216587333,23.156854999999965,55.81456435000001
split_03,3,dense_ae,threshold,advisory,303,0,0.0,315,6.3022573474999986,49.98209096062307,,
split_03,3,dense_ae,k_of_n,advisory,303,0,0.0,315,6.3022573474999986,49.98209096062307,,
split_03,3,dense_ae,cusum,advisory,303,198,0.6534653465346535,719,6.3022573474999986,114.08610603393012,12.151611500000008,48.07014984999996
split_03,3,usad,threshold,critical,303,122,0.40264026402640263,253,6.3022573474999986,40.14434607313535,11.301998500000002,61.00895445
split_03,3,usad,k_of_n,critical,303,122,0.40264026402640263,253,6.3022573474999986,40.14434607313535,11.500366500000004,61.20866150000002
split_03,3,usad,cusum,critical,303,103,0.33993399339933994,257,6.3022573474999986,40.77903929168295,23.313422999999997,60.16684219999998
split_03,3,usad,threshold,advisory,303,0,0.0,315,6.3022573474999986,49.98209096062307,,
split_03,3,usad,k_of_n,advisory,303,0,0.0,315,6.3022573474999986,49.98209096062307,,
split_03,3,usad,cusum,advisory,303,184,0.6072607260726073,640,6.3022573474999986,101.55091496761513,12.255485999999998,50.69733444999997
split_04,4,lstm_ae,threshold,critical,303,94,0.3102310231023102,171,6.18948345861111,27.627507391121064,11.811008499999998,61.0837083
split_04,4,lstm_ae,k_of_n,critical,303,94,0.3102310231023102,171,6.18948345861111,27.627507391121064,12.013233499999982,61.28179100000002
split_04,4,lstm_ae,cusum,critical,303,146,0.48184818481848185,349,6.18948345861111,56.3859653772003,18.85990699999999,56.838646999999995
split_04,4,lstm_ae,threshold,advisory,303,0,0.0,321,6.18948345861111,51.86216299736761,,
split_04,4,lstm_ae,k_of_n,advisory,303,0,0.0,321,6.18948345861111,51.86216299736761,,
split_04,4,lstm_ae,cusum,advisory,303,221,0.7293729372937293,842,6.18948345861111,136.03720013639727,10.013266999999992,45.530980000000014
split_04,4,dense_ae,threshold,critical,303,104,0.3432343234323432,180,6.18948345861111,29.081586727495857,13.008581999999997,62.27442329999998
split_04,4,dense_ae,k_of_n,critical,303,102,0.33663366336633666,182,6.18948345861111,29.404715468912475,13.550187,62.62284635
split_04,4,dense_ae,cusum,critical,303,131,0.43234323432343236,334,6.18948345861111,53.962499816575644,18.295167,53.3436085
split_04,4,dense_ae,threshold,advisory,303,0,0.0,323,6.18948345861111,52.18529173878423,,
split_04,4,dense_ae,k_of_n,advisory,303,0,0.0,323,6.18948345861111,52.18529173878423,,
