epoch,train_loss,val_loss,split,model
1,3.318747818470001,2.8504037857055664,split_00,lstm_ae
2,2.907026323405179,2.5764577388763428,split_00,lstm_ae
3,2.6949822902679443,2.438490390777588,split_00,lstm_ae
4,2.598579691214995,2.360199451446533,split_00,lstm_ae
5,2.538448769937862,2.318448066711426,split_00,lstm_ae
6,2.48031238805164,2.273563861846924,split_00,lstm_ae
7,2.424573979594491,2.2230827808380127,split_00,lstm_ae
8,2.377359092235565,2.1933376789093018,split_00,lstm_ae
9,2.346804900602861,2.144822359085083,split_00,lstm_ae
10,2.3115341527895494,2.1151070594787598,split_00,lstm_ae
11,2.2816509306430817,2.085184097290039,split_00,lstm_ae
12,2.258812668648633,2.0637474060058594,split_00,lstm_ae
13,2.237160536375913,2.0304203033447266,split_00,lstm_ae
14,2.220688134431839,2.0156397819519043,split_00,lstm_ae
15,2.192342162132263,1.989393949508667,split_00,lstm_ae
16,2.186885657635602,1.9836808443069458,split_00,lstm_ae
17,2.167102426290512,1.9666496515274048,split_00,lstm_ae
18,2.160346732898192,1.9547455310821533,split_00,lstm_ae
19,2.1421998251568186,1.9505362510681152,split_00,lstm_ae
20,2.124109834432602,1.946539044380188,split_00,lstm_ae
21,2.1137719425288113,1.926806926727295,split_00,lstm_ae
22,2.1009650934826243,1.9110827445983887,split_00,lstm_ae
23,2.0785194608298214,1.925057053565979,split_00,lstm_ae
24,2.068436926061457,1.9098267555236816,split_00,lstm_ae
25,2.0495206957513634,1.8975074291229248,split_00,lstm_ae
26,2.0414572764526713,1.8935264348983765,split_00,lstm_ae
27,2.0251027020541104,1.8845304250717163,split_00,lstm_ae
28,2.016444880854,1.8899739980697632,split_00,lstm_ae
29,2.0052636861801147,1.8802011013031006,split_00,lstm_ae
30,1.9962369284846566,1.8636194467544556,split_00,lstm_ae
31,1.9899074191396886,1.8730329275131226,split_00,lstm_ae
32,1.982999544252049,1.8703875541687012,split_00,lstm_ae
33,1.9659469344399192,1.870641827583313,split_00,lstm_ae
34,1.9640851996161721,1.8613157272338867,split_00,lstm_ae
35,1.9580155231735923,1.8608969449996948,split_00,lstm_ae
36,1.9478880790146915,1.8543097972869873,split_00,lstm_ae
37,1.940446517684243,1.8564573526382446,split_00,lstm_ae
38,1.9288591336120258,1.8497488498687744,split_00,lstm_ae
39,1.9252181595022029,1.842511534690857,split_00,lstm_ae
40,1.9178494052453474,1.8475637435913086,split_00,lstm_ae
