epoch,train_loss,validation_loss
1,10.700059229327787,4.6327643394470215
2,6.835372970950219,4.578866958618164
3,6.061960697174072,4.359107494354248
4,5.454896403897193,3.654078960418701
5,5.090640898673765,3.4924373626708984
6,4.671787846472956,2.928496837615967
7,4.006248289538968,2.708763837814331
8,3.605551173610072,2.730600118637085
9,3.3806897286445863,2.549077033996582
10,3.1608129547488306,2.426384449005127
11,3.0175442618708455,2.3203022480010986
12,2.8009067966092016,2.1983730792999268
13,2.650333312249953,2.1202049255371094
14,2.4937062955671743,2.0679526329040527
15,2.2177281495063537,1.959397554397583
16,2.101931675787895,1.875895619392395
17,2.0276680069585002,1.8795959949493408
18,1.899648654845453,1.9572250843048096
19,1.8352001943895895,1.7769644260406494
20,1.792515270171627,1.8190381526947021
21,1.807015311333441,1.7262139320373535
22,1.68292442060286,1.7480788230895996
23,1.64380088544661,1.7155308723449707
24,1.610737431433893,1.7386828660964966
25,1.631698312297944,1.6303274631500244
