policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,157,0.6624472573839663
advisory,HIL,Motor,744,624,0.8387096774193549
advisory,HIL,Propeller,387,368,0.9509043927648578
advisory,HIL,Sensor,552,335,0.6068840579710145
advisory,HIL,Voltage,30,10,0.3333333333333333
advisory,Real,Motor,196,28,0.14285714285714285
advisory,Real,Sensor,158,53,0.33544303797468356
advisory,SIL,Load,237,169,0.7130801687763713
advisory,SIL,Motor,744,673,0.9045698924731183
advisory,SIL,Propeller,354,329,0.9293785310734464
advisory,SIL,Sensor,552,280,0.5072463768115942
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,149,0.6286919831223629
critical,HIL,Motor,744,555,0.7459677419354839
critical,HIL,Propeller,387,360,0.9302325581395349
critical,HIL,Sensor,552,316,0.572463768115942
critical,HIL,Voltage,30,8,0.26666666666666666
critical,Real,Motor,196,21,0.10714285714285714
critical,Real,Sensor,158,50,0.31645569620253167
critical,SIL,Load,237,133,0.5611814345991561
critical,SIL,Motor,744,320,0.43010752688172044
critical,SIL,Propeller,354,246,0.6949152542372882
critical,SIL,Sensor,552,242,0.4384057971014493
critical,SIL,Voltage,30,5,0.16666666666666666
