candidate,protocol,policy,event_recall_mean,event_recall_std,event_recall_min,event_recall_max,all_nonfault_fa_per_hour_mean,all_nonfault_fa_per_hour_std,all_nonfault_fa_per_hour_min,all_nonfault_fa_per_hour_max,wind_fa_per_hour_mean,wind_fa_per_hour_std,wind_fa_per_hour_min,wind_fa_per_hour_max,real_motor_recall_mean,real_motor_recall_std,real_motor_recall_min,real_motor_recall_max,real_sensor_recall_mean,real_sensor_recall_std,real_sensor_recall_min,real_sensor_recall_max,real_macro_recall_mean,real_macro_recall_std,real_macro_recall_min,real_macro_recall_max,real_normal_fa_per_hour_mean,real_normal_fa_per_hour_std,real_normal_fa_per_hour_min,real_normal_fa_per_hour_max,real_normal_alarm_flight_rate_mean,real_normal_alarm_flight_rate_std,real_normal_alarm_flight_rate_min,real_normal_alarm_flight_rate_max,real_gate_passed,wind_gate_passed
frozen_baseline,frozen_single_holdout,critical,0.6043117744610281,0.055419734167383,0.5183605780620706,0.662165363657901,1.2788107262209545,0.3469578688223961,0.7330219187926696,1.6477659401480338,28.461784635934823,3.069364883492212,24.09383739860023,32.05832834740987,0.2020408163265306,0.1069361465637284,0.086734693877551,0.3469387755102041,0.0835443037974683,0.0699646258503062,0.0063291139240506,0.189873417721519,0.1427925600619994,0.0695920935946129,0.0465319039008008,0.1969775251872901,0.7991120976692574,1.0942293046718092,0.0,1.9977802441731436,0.02,0.0273861278752583,0.0,0.05,,
frozen_baseline,frozen_single_holdout,advisory,0.698365316275764,0.0584563372486506,0.6098081023454158,0.7616678512200901,3.643735218525479,1.319087279227162,2.298199863890679,5.303629177146963,31.537380511764457,2.2276763027872404,28.000946165940807,33.81151817890884,0.3112244897959183,0.0579480443449007,0.2142857142857142,0.3571428571428571,0.2734177215189873,0.1531070087514791,0.1265822784810126,0.4556962025316455,0.2923211056574528,0.0878930308156288,0.2147377938517178,0.3911134073882717,8.607011509443875,3.088754983266892,6.112054329371832,11.98668146503886,0.1663636363636363,0.1008025645744858,0.0909090909090909,0.3,,
R1,nested_inner_outer,critical,0.5954986969912344,0.1521778775742996,0.4233593935086472,0.7882018479033405,3.2845590332471275,2.7782269918476983,0.9322886240311244,8.06507128494049,28.133546178923304,12.231472758355206,7.688884933701166,37.64486479286,0.2387755102040816,0.0884729773534415,0.1020408163265306,0.3418367346938775,0.220253164556962,0.1481201978595089,0.0,0.379746835443038,0.2295143373805218,0.0955204009487793,0.1332988891759235,0.3607917850684577,12.08297734731194,15.875768463455564,0.0,37.95782463928968,0.1981818181818181,0.2558731607264922,0.0,0.6,False,False
R1,nested_inner_outer,advisory,0.649940772328832,0.1570893457915037,0.4086709310589907,0.8031272210376688,8.3130287095332,4.52845766346674,2.493330041013472,12.655407833273443,32.8844500158903,11.766491059189889,12.814808222835277,42.141260028935946,0.2816326530612245,0.0845616129754191,0.1530612244897959,0.3622448979591837,0.2860759493670886,0.1460778140854589,0.0759493670886076,0.3987341772151899,0.2838543012141565,0.0858591846309345,0.1714673211056574,0.3702854559545337,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.3681818181818181,0.4644822942297075,0.0,0.9,,
W1,nested_inner_outer,critical,0.1078417436626391,0.1151634998013858,0.0262970859985785,0.3105899076048329,2.542722890545286,2.134071054601316,0.6070716621598019,6.043368779551095,7.853840495660203,9.37080826090912,0.0,23.674865184795472,0.2387755102040816,0.0884729773534415,0.1020408163265306,0.3418367346938775,0.220253164556962,0.1481201978595089,0.0,0.379746835443038,0.2295143373805218,0.0955204009487793,0.1332988891759235,0.3607917850684577,12.08297734731194,15.875768463455564,0.0,37.95782463928968,0.1981818181818181,0.2558731607264922,0.0,0.6,False,False
W1,nested_inner_outer,advisory,0.4197109689647003,0.1442037603424264,0.2677090736792229,0.6552949538024165,4.837098680994603,3.864255984829408,1.7463169241825365,10.153962237033578,22.600485491831385,13.130301902386943,3.5240722612797013,40.48401946600026,0.2816326530612245,0.0845616129754191,0.1530612244897959,0.3622448979591837,0.2860759493670886,0.1460778140854589,0.0759493670886076,0.3987341772151899,0.2838543012141565,0.0858591846309345,0.1714673211056574,0.3702854559545337,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.3681818181818181,0.4644822942297075,0.0,0.9,,
W2,nested_inner_outer,critical,0.559014451551765,0.1620140526770985,0.2795546079128169,0.6879886282871357,2.652850716531466,1.22233986126999,1.1086755674716038,4.096078184790615,17.777422705144723,7.509788572331984,6.407404111417638,24.670287044220323,0.1061224489795918,0.0905809837598863,0.0306122448979591,0.2602040816326531,0.1746835443037974,0.1540330019138014,0.0126582278481012,0.360759493670886,0.1404029966416946,0.1172225812134443,0.0343903384138465,0.3104817876517696,3.788596204057842,2.8299697579810905,0.0,6.474820143884893,0.0663636363636363,0.0418576888480775,0.0,0.1,False,False
W2,nested_inner_outer,advisory,0.6426439232409381,0.1833999044460044,0.3186448708836769,0.751954513148543,7.131465012123954,3.995289667967113,3.9885016169601135,13.991340746995313,24.563391057253835,13.194241328758087,7.368514728130284,38.36419341947516,0.2693877551020407,0.0897147128176867,0.1428571428571428,0.3775510204081632,0.3683544303797468,0.0489023892964097,0.3037974683544304,0.4177215189873418,0.3188710927408938,0.0662030291633246,0.2391500904159132,0.3976362696977525,23.390585316325105,23.339604770803707,6.1120543293718175,49.944506104328525,0.3863636363636363,0.400825594273611,0.0909090909090909,0.85,,
R2,nested_inner_outer,critical,0.5945984363894812,0.1504826197060165,0.4278606965174129,0.7867803837953091,3.2367377951489047,2.9046045024674707,0.6287527929512234,8.217242441260122,27.832314482117063,12.228186344642465,7.368514728130284,37.16531237511656,0.233673469387755,0.0912252887697285,0.1071428571428571,0.3571428571428571,0.2177215189873417,0.1468436270089448,0.0,0.379746835443038,0.2256974941875484,0.0980006267106264,0.1326853526220615,0.3684448462929476,11.683421298477311,15.06625766790137,0.0,35.96004439511654,0.1981818181818181,0.2558731607264922,0.0,0.6,False,False
R2,nested_inner_outer,advisory,0.6479033404406538,0.1547893991003126,0.4093816631130064,0.7990997393982469,8.486145764026006,4.559829407748484,2.580054564179158,12.97879985627021,33.08977122914784,11.725556725848216,13.135178428406158,42.614757332631854,0.283673469387755,0.0813611556639823,0.173469387755102,0.3571428571428571,0.2860759493670886,0.1391973465906191,0.0886075949367088,0.3987341772151899,0.2848747093774219,0.0819662506199923,0.1816714027383105,0.3753874967708602,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.3681818181818181,0.4644822942297075,0.0,0.9,,
R3,nested_inner_outer,critical,0.5890073442312247,0.1526292742170181,0.4235963041933191,0.7867803837953091,3.2019391054237887,2.9117685814623075,0.6721150545340664,8.217242441260122,27.82949942137676,12.121768470983508,7.368514728130284,36.68575995737312,0.2326530612244897,0.0915954881224952,0.1071428571428571,0.3571428571428571,0.2164556962025316,0.1443537555094801,0.0,0.379746835443038,0.2245543787135107,0.0965751622397356,0.135204081632653,0.3684448462929476,11.683421298477311,15.06625766790137,0.0,35.96004439511654,0.1981818181818181,0.2558731607264922,0.0,0.6,False,False
R3,nested_inner_outer,advisory,0.6459132906894102,0.1553107741487147,0.4053541814735845,0.7990997393982469,8.56491709665504,4.437167030129993,2.580054564179158,12.871002515271288,32.81048496072271,11.736470391149776,13.135178428406158,42.614757332631854,0.2806122448979592,0.0886640163111366,0.1581632653061224,0.3622448979591837,0.2848101265822785,0.1352269659444398,0.0949367088607595,0.3987341772151899,0.2827111857401188,0.0832130206013475,0.1740183415138207,0.3753874967708602,22.870990665846904,28.798498485276603,0.0,59.93340732519423,0.3681818181818181,0.4644822942297075,0.0,0.9,,
R4,nested_inner_outer,critical,0.5461265103056148,0.164821949006888,0.3404406538734897,0.7867803837953091,5.239602862308731,4.195268035084091,0.6937961853254879,10.905521829219529,28.753990468101332,15.104769726097528,3.203702055708819,42.68016517916611,0.2938775510204081,0.0565383476620207,0.2244897959183673,0.3571428571428571,0.2683544303797468,0.1599025299971932,0.0,0.379746835443038,0.2811159907000774,0.1029235138252718,0.1224489795918367,0.3684448462929476,12.978385327254292,14.05534608283592,0.0,35.96004439511654,0.2163636363636363,0.2410719860940686,0.0,0.6,False,False
R4,nested_inner_outer,advisory,0.6417910447761194,0.1029774198437222,0.5148069177919924,0.7990997393982469,8.754533328296574,5.230618203018807,2.1030696867678853,14.853320731396998,33.40535830716517,16.273799572326478,5.446293494704992,46.75636072998535,0.3438775510204082,0.0240933039859542,0.3112244897959184,0.3775510204081632,0.3493670886075949,0.1817017952058501,0.0316455696202531,0.4810126582278481,0.3466223198140015,0.0931878693986894,0.1867411521570653,0.4134590545078791,26.75588275217784,25.724025211076327,0.0,59.93340732519423,0.4227272727272727,0.4198582995911087,0.0,0.9,,
