event_id,flight_id,start_time,end_time,duration_s,n_samples,direction,cruise_median_alt_m,peak_abs_deviation_m,median_abs_deviation_m,data_quality_suspect,altitude_source_residual_abs_max_mps
407ebf_002_alt_001,407ebf_002,1772300527.63,1772300805.03,277.39999985694885,50,below,548.6,335.20000000000005,304.8,False,
a510bf_000_alt_001,a510bf_000,1772292501.21,1772292978.82,477.6099998950958,35,above,1158.2,243.89999999999986,243.89999999999986,False,2.175141266377147
