,Load,Motor,Propeller,Sensor,Voltage
Load,2514,5,0,181,0
Motor,402,23408,4429,5746,3056
Propeller,0,4306,3338,411,806
Sensor,45,2506,0,6496,433
Voltage,0,180,0,385,133
