policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,3321,0.7867803837953091,3321,900,82,18,52.75603663613655,8.217242441260122,35.412205567451814
advisory,4221,3373,0.7990997393982469,3373,848,90,10,57.552039966694416,10.086773790329886,36.13490364025696
