policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,137,0.5780590717299579
advisory,HIL,Motor,744,437,0.5873655913978495
advisory,HIL,Propeller,387,317,0.8191214470284238
advisory,HIL,Sensor,552,191,0.34601449275362317
advisory,HIL,Voltage,30,7,0.23333333333333334
advisory,Real,Motor,196,70,0.35714285714285715
advisory,Real,Sensor,158,14,0.08860759493670886
advisory,SIL,Load,237,174,0.7341772151898734
advisory,SIL,Motor,744,660,0.8870967741935484
advisory,SIL,Propeller,354,336,0.9491525423728814
advisory,SIL,Sensor,552,236,0.427536231884058
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,114,0.4810126582278481
critical,HIL,Motor,744,294,0.3951612903225806
critical,HIL,Propeller,387,268,0.6925064599483204
critical,HIL,Sensor,552,156,0.2826086956521739
critical,HIL,Voltage,30,3,0.1
critical,Real,Motor,196,53,0.27040816326530615
critical,Real,Sensor,158,0,0.0
critical,SIL,Load,237,160,0.6751054852320675
critical,SIL,Motor,744,575,0.7728494623655914
critical,SIL,Propeller,354,313,0.884180790960452
critical,SIL,Sensor,552,193,0.3496376811594203
critical,SIL,Voltage,30,9,0.3
