epoch,train_loss,val_loss,split,model
1,3.463019766590812,3.8696346282958984,split_01,lstm_ae
2,3.056434517556971,3.4963135719299316,split_01,lstm_ae
3,2.772545326839794,3.2882277965545654,split_01,lstm_ae
4,2.627283670685508,3.1835105419158936,split_01,lstm_ae
5,2.5445756180719896,3.1011099815368652,split_01,lstm_ae
6,2.4758644700050354,2.9719300270080566,split_01,lstm_ae
7,2.4236149842088874,2.926306962966919,split_01,lstm_ae
8,2.3765975074334578,2.8352408409118652,split_01,lstm_ae
9,2.3389828367666765,2.790229558944702,split_01,lstm_ae
10,2.3055970804257826,2.7416305541992188,split_01,lstm_ae
11,2.2797261747446926,2.7206692695617676,split_01,lstm_ae
12,2.2541999356313185,2.692758083343506,split_01,lstm_ae
13,2.2351870103315874,2.659961462020874,split_01,lstm_ae
14,2.216782905838706,2.650362730026245,split_01,lstm_ae
15,2.195169771259481,2.6285433769226074,split_01,lstm_ae
16,2.181428928266872,2.6015372276306152,split_01,lstm_ae
17,2.1641554805365475,2.5847558975219727,split_01,lstm_ae
18,2.148501818830317,2.5794825553894043,split_01,lstm_ae
19,2.136026704853231,2.5599887371063232,split_01,lstm_ae
20,2.1206920634616506,2.557645082473755,split_01,lstm_ae
21,2.104608942161907,2.54526424407959,split_01,lstm_ae
22,2.089666185053912,2.541621208190918,split_01,lstm_ae
23,2.0705732784487982,2.5237338542938232,split_01,lstm_ae
24,2.052797027609565,2.520266532897949,split_01,lstm_ae
25,2.0389549190347847,2.5251691341400146,split_01,lstm_ae
26,2.017577041279186,2.5109381675720215,split_01,lstm_ae
27,2.0032605772668663,2.4999735355377197,split_01,lstm_ae
28,1.9887818287719379,2.507805347442627,split_01,lstm_ae
29,1.9755864441394806,2.5012831687927246,split_01,lstm_ae
30,1.967963240363381,2.4808645248413086,split_01,lstm_ae
31,1.9524829116734592,2.4806792736053467,split_01,lstm_ae
32,1.9384371069344608,2.492478132247925,split_01,lstm_ae
33,1.9328089708631688,2.4733240604400635,split_01,lstm_ae
34,1.9200389981269836,2.4898595809936523,split_01,lstm_ae
35,1.9195036806843497,2.4716598987579346,split_01,lstm_ae
36,1.9137393750927665,2.4756457805633545,split_01,lstm_ae
37,1.9078187210993334,2.4784669876098633,split_01,lstm_ae
38,1.8945396461270072,2.452597141265869,split_01,lstm_ae
39,1.8810030086473986,2.4576871395111084,split_01,lstm_ae
40,1.8817337399179286,2.4414050579071045,split_01,lstm_ae
