epoch,train_loss,val_loss
1,1.5839397334135497,247.6683807373047
2,1.2100492796072593,247.5435791015625
3,1.1125776859430165,247.52899169921875
4,1.0616094395518303,247.2115478515625
5,0.9895670001323407,247.36231994628906
6,0.9245408203166264,247.31605529785156
7,0.8739351022701997,247.2803955078125
8,0.8383369013093985,247.18618774414062
9,0.8166815386368678,247.23094177246094
10,0.7816816728848678,247.21600341796875
11,0.7610046172944399,247.21847534179688
12,0.7480299108876631,247.24081420898438
13,0.7407121549432094,247.16799926757812
14,0.7279092044784472,247.1162567138672
15,0.7062080926620043,247.14491271972656
16,0.6982824008625287,247.1173553466797
17,0.7816084783810836,247.267333984375
18,0.717044569265384,247.38601684570312
19,0.7009387683983033,247.4656219482422
