split,seed,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_01,1,dikey_tutarlilik,cusum,advisory,Actuator Outputs,25,4,0.16,8,0.7446180683333333,10.743762930580331,10.252068499999991,31.028773
split_01,1,dikey_tutarlilik,cusum,advisory,Actuator Outputs+Controls,41,5,0.1219512195121951,11,1.206307534722222,9.118736046470094,9.401401199999986,31.028773
split_01,1,dikey_tutarlilik,cusum,advisory,Actuator Thrust,2,0,0.0,0,0.065104273611111,0.0,,
split_01,1,dikey_tutarlilik,cusum,advisory,Battery,2,0,0.0,0,0.0634589061111111,0.0,,
split_01,1,dikey_tutarlilik,cusum,advisory,Position.X,54,9,0.1666666666666666,8,0.9378571405555556,8.530083798542137,18.662058999999985,53.86505899999975
split_01,1,dikey_tutarlilik,cusum,advisory,Position.Y,55,4,0.0727272727272727,14,1.0971975144444444,12.759781001772293,20.716350500000004,45.93772799999999
split_01,1,dikey_tutarlilik,cusum,advisory,Position.Z,113,12,0.1061946902654867,48,1.424467075,33.69681254303473,18.66070158333334,43.00719200000003
split_01,1,dikey_tutarlilik,cusum,advisory,Velocity,2,0,0.0,0,0.003647016111111,0.0,,
split_01,1,motor_simetrisi,threshold,critical,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_01,1,motor_simetrisi,threshold,critical,Actuator Outputs,25,4,0.16,4,0.7446180683333333,5.371881465290167,10.503732499999998,31.03796
split_01,1,motor_simetrisi,threshold,critical,Actuator Outputs+Controls,41,4,0.0975609756097561,4,1.206307534722222,3.315904016898216,10.503732499999998,31.03796
split_01,1,motor_simetrisi,threshold,critical,Actuator Thrust,2,0,0.0,1,0.065104273611111,15.359974768681454,,
split_01,1,motor_simetrisi,threshold,critical,Battery,2,0,0.0,0,0.0634589061111111,0.0,,
split_01,1,motor_simetrisi,threshold,critical,Position.X,54,1,0.0185185185185185,3,0.9378571405555556,3.1987814244533017,59.095669999999984,59.095669999999984
split_01,1,motor_simetrisi,threshold,critical,Position.Y,55,0,0.0,3,1.0971975144444444,2.7342387860940622,,
split_01,1,motor_simetrisi,threshold,critical,Position.Z,113,1,0.0088495575221238,12,1.424467075,8.424203135758683,58.04521499999999,58.04521499999999
split_01,1,motor_simetrisi,threshold,critical,Velocity,2,0,0.0,0,0.003647016111111,0.0,,
split_01,1,motor_simetrisi,k_of_n,critical,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_01,1,motor_simetrisi,k_of_n,critical,Actuator Outputs,25,2,0.08,2,0.7446180683333333,2.6859407326450837,10.020622500000016,13.03001900000001
split_01,1,motor_simetrisi,k_of_n,critical,Actuator Outputs+Controls,41,2,0.048780487804878,2,1.206307534722222,1.657952008449108,10.020622500000016,13.03001900000001
split_01,1,motor_simetrisi,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.065104273611111,0.0,,
split_01,1,motor_simetrisi,k_of_n,critical,Battery,2,0,0.0,0,0.0634589061111111,0.0,,
split_01,1,motor_simetrisi,k_of_n,critical,Position.X,54,1,0.0185185185185185,3,0.9378571405555556,3.1987814244533017,60.09712000000002,60.09712000000002
split_01,1,motor_simetrisi,k_of_n,critical,Position.Y,55,0,0.0,3,1.0971975144444444,2.7342387860940622,,
split_01,1,motor_simetrisi,k_of_n,critical,Position.Z,113,0,0.0,9,1.424467075,6.318152351819012,,
split_01,1,motor_simetrisi,k_of_n,critical,Velocity,2,0,0.0,0,0.003647016111111,0.0,,
split_01,1,motor_simetrisi,cusum,critical,Actuator Controls,16,0,0.0,2,0.5049052622222222,3.961139147564968,,
split_01,1,motor_simetrisi,cusum,critical,Actuator Outputs,25,1,0.04,2,0.7446180683333333,2.6859407326450837,16.998350000000002,16.998350000000002
split_01,1,motor_simetrisi,cusum,critical,Actuator Outputs+Controls,41,1,0.024390243902439,4,1.206307534722222,3.315904016898216,16.998350000000002,16.998350000000002
split_01,1,motor_simetrisi,cusum,critical,Actuator Thrust,2,0,0.0,0,0.065104273611111,0.0,,
split_01,1,motor_simetrisi,cusum,critical,Battery,2,0,0.0,0,0.0634589061111111,0.0,,
split_01,1,motor_simetrisi,cusum,critical,Position.X,54,5,0.0925925925925925,12,0.9378571405555556,12.795125697813209,68.240618,98.095036
split_01,1,motor_simetrisi,cusum,critical,Position.Y,55,0,0.0,11,1.0971975144444444,10.025542215678229,,
split_01,1,motor_simetrisi,cusum,critical,Position.Z,113,6,0.0530973451327433,11,1.424467075,7.722186207778792,26.317463333333325,78.89981599999999
