policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,143,0.6033755274261603
advisory,HIL,Motor,744,508,0.6827956989247311
advisory,HIL,Propeller,387,312,0.8062015503875969
advisory,HIL,Sensor,552,302,0.5471014492753623
advisory,HIL,Voltage,30,16,0.5333333333333333
advisory,Real,Motor,196,74,0.37755102040816324
advisory,Real,Sensor,158,71,0.44936708860759494
advisory,SIL,Load,237,88,0.37130801687763715
advisory,SIL,Motor,744,274,0.3682795698924731
advisory,SIL,Propeller,354,228,0.6440677966101694
advisory,SIL,Sensor,552,147,0.266304347826087
advisory,SIL,Voltage,30,10,0.3333333333333333
critical,HIL,Load,237,101,0.42616033755274263
critical,HIL,Motor,744,239,0.32123655913978494
critical,HIL,Propeller,387,250,0.6459948320413437
critical,HIL,Sensor,552,197,0.35688405797101447
critical,HIL,Voltage,30,6,0.2
critical,Real,Motor,196,64,0.32653061224489793
critical,Real,Sensor,158,57,0.36075949367088606
critical,SIL,Load,237,72,0.3037974683544304
critical,SIL,Motor,744,136,0.1827956989247312
critical,SIL,Propeller,354,195,0.5508474576271186
critical,SIL,Sensor,552,114,0.20652173913043478
critical,SIL,Voltage,30,6,0.2
