policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,168,0.7088607594936709
advisory,HIL,Motor,744,607,0.8158602150537635
advisory,HIL,Propeller,387,367,0.9483204134366925
advisory,HIL,Sensor,552,340,0.6159420289855072
advisory,HIL,Voltage,30,10,0.3333333333333333
advisory,Real,Motor,196,64,0.32653061224489793
advisory,Real,Sensor,158,72,0.45569620253164556
advisory,SIL,Load,237,166,0.70042194092827
advisory,SIL,Motor,744,696,0.9354838709677419
advisory,SIL,Propeller,354,347,0.980225988700565
advisory,SIL,Sensor,552,255,0.46195652173913043
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,133,0.5611814345991561
critical,HIL,Motor,744,454,0.6102150537634409
critical,HIL,Propeller,387,341,0.8811369509043928
critical,HIL,Sensor,552,258,0.4673913043478261
critical,HIL,Voltage,30,9,0.3
critical,Real,Motor,196,22,0.11224489795918367
critical,Real,Sensor,158,11,0.06962025316455696
critical,SIL,Load,237,141,0.5949367088607594
critical,SIL,Motor,744,588,0.7903225806451613
critical,SIL,Propeller,354,335,0.9463276836158192
critical,SIL,Sensor,552,227,0.411231884057971
critical,SIL,Voltage,30,10,0.3333333333333333
