epoch,train_loss,val_loss
1,10.716317408225116,3988.03759765625
2,8.92059887156767,3448.056396484375
3,5.911511326537413,3312.36767578125
4,5.333332827862571,3297.30517578125
5,5.238190353793256,3279.189208984375
6,5.151214476017391,3270.948486328125
7,5.019786351743867,3260.25927734375
8,4.866791431518162,3194.279052734375
9,4.773335481391234,3091.509521484375
10,4.6312901228666306,3029.44189453125
11,4.574276327210314,2889.02294921875
12,4.533409797969987,2754.537841796875
13,4.458165574599715,2636.857177734375
14,4.40248404443264,2495.640869140625
15,4.321313489885891,2330.848876953125
16,4.20765706809128,2193.104248046875
17,4.125759576173389,2248.879638671875
18,4.014967110227136,2471.79248046875
19,3.9698454027666763,2800.013916015625
20,3.9133161245023502,3101.607666015625
21,3.90442449993947,3438.080078125
