policy,events,detected_events,event_recall,false_alarm_events,normal_exposure_hours,false_alarms_per_hour,median_detection_delay_s,confusion_flight,flight_tp,flight_fn,flight_fp,flight_tn
critical,965,111,0.11502590673575129,10,9.080277777777777,1.101287895010554,52.00000000000001,"{'tp': 111, 'fn': 854, 'fp': 9, 'tn': 171}",111,854,9,171
advisory,965,512,0.5305699481865285,126,9.080277777777777,13.876227477132982,22.0,"{'tp': 512, 'fn': 453, 'fp': 66, 'tn': 114}",512,453,66,114
