split,seed,architecture,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,external_position_anomaly,185,30,0.16216216216216217,34,2.7663557002777774,12.290538052133341,26.068523966666678,73.86537400000002
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,global_position_anomaly,51,9,0.17647058823529413,8,0.6878973927777778,11.629641402906675,28.27650377777779,48.987712000000045
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,normal,0,0,,35,27.959377571111112,1.251816136141871,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,altitude_anomaly,114,6,0.05263157894736842,24,1.4421181852777778,16.64218664254426,5.677092166666664,13.011123999999995
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,external_position_anomaly,185,101,0.5459459459459459,215,2.7663557002777774,77.71957885907848,5.363929237623763,35.00918100000001
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,global_position_anomaly,51,11,0.21568627450980393,18,0.6878973927777778,26.166693156540017,22.730960909090907,167.98227799999995
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,mechanical_fault,43,3,0.06976744186046512,19,1.299568493888889,14.620237478321377,20.98849199999997,38.040696999999966
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,normal,0,0,,432,27.959377571111112,15.45098773752252,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,altitude_anomaly,114,5,0.043859649122807015,20,1.4421181852777778,13.868488868786882,4.187112199999996,14.024928999999986
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,external_position_anomaly,185,72,0.3891891891891892,147,2.7663557002777774,53.138502754811796,6.994671944444447,52.012945
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,global_position_anomaly,51,11,0.21568627450980393,23,0.6878973927777778,33.43521903335669,27.357482909090916,168.9904059999999
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,mechanical_fault,43,1,0.023255813953488372,14,1.299568493888889,10.772806562973646,2.9485919999999624,2.9485919999999624
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,normal,0,0,,294,27.959377571111112,10.515255543591715,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,altitude_anomaly,114,8,0.07017543859649122,20,1.4421181852777778,13.868488868786882,31.601259374999994,84.97321199999999
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,external_position_anomaly,185,78,0.42162162162162165,129,2.7663557002777774,46.631747315447086,12.881973435897438,42.09608400000002
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,global_position_anomaly,51,19,0.37254901960784315,26,0.6878973927777778,37.79633455944669,22.244521000000002,53.04146999999989
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,mechanical_fault,43,0,0.0,11,1.299568493888889,8.464348013765008,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,advisory,normal,0,0,,246,27.959377571111112,8.798479128311435,,
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,external_position_anomaly,185,83,0.4486486486486487,63,2.7663557002777774,22.773644037776485,4.553372132530119,30.054137999999995
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,global_position_anomaly,51,3,0.058823529411764705,19,0.6878973927777778,27.620398331903353,2.700708666666666,4.050720999999996
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,mechanical_fault,43,1,0.023255813953488372,5,1.299568493888889,3.847430915347731,3.9689970000000017,3.9689970000000017
split_01,1,dense_ae,dense_ae_relerr,threshold,critical,normal,0,0,,126,27.63281452361111,4.559796103735223,,
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,altitude_anomaly,114,8,0.07017543859649122,22,1.4421181852777778,15.25533775566557,4.104501750000001,20.018408000000022
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,external_position_anomaly,185,77,0.41621621621621624,81,2.7663557002777774,29.280399477141195,4.503460181818182,31.056343999999996
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,global_position_anomaly,51,2,0.0392156862745098,20,0.6878973927777778,29.074103507266685,4.554680999999995,5.067157999999992
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,mechanical_fault,43,1,0.023255813953488372,42,1.299568493888889,32.31841968892094,0.0,0.0
split_01,1,dense_ae,dense_ae_relerr,k_of_n,critical,normal,0,0,,158,27.63281452361111,5.717839558652104,,
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,altitude_anomaly,114,4,0.03508771929824561,5,1.4421181852777778,3.4671222171967204,20.768324500000013,53.98689999999999
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,external_position_anomaly,185,29,0.15675675675675677,37,2.7663557002777774,13.37499729202746,29.131675172413797,91.166051
split_01,1,dense_ae,dense_ae_relerr,cusum,critical,global_position_anomaly,51,20,0.39215686274509803,36,0.6878973927777778,52.333386313080034,27.569407050000002,43.875211000000036
