split,seed,score_source,allocation,decision,budget,system_budget_per_hour,mechanical_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Position.X,54,3,0.05555555555555555,5,0.9378571405555555,5.331302374088836,14.35645733333333,27.02733099999999
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Position.Y,55,0,0.0,5,1.0971975144444444,4.557064643490104,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,agirlikli_sistem,k_of_n,advisory,10.0,2.0,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Controls,16,1,0.0625,15,0.5049052622222222,29.708543606737262,1.0198860000000423,1.0198860000000423
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Outputs,25,9,0.36,17,0.7446180683333333,22.83049622748321,11.215486444444444,27.074017999999995
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Outputs+Controls,41,10,0.24390243902439024,30,1.206307534722222,24.86928012673662,10.195926400000005,27.074017999999995
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Position.X,54,27,0.5,77,0.9378571405555555,82.10205656096808,15.46269914814814,39.08921699999996
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Position.Y,55,31,0.5636363636363636,91,1.0971975144444444,82.9385765115199,12.319544935483872,36.97577600000001
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Position.Z,113,2,0.017699115044247787,8,1.4244670750000001,5.616135423839122,16.521635500000002,33.043271000000004
split_00,0,channel_union,agirlikli_sistem,cusum,advisory,10.0,2.0,Velocity,2,2,1.0,1,0.0036470161111110933,274.1967596340949,23.527728499999967,38.001544999999965
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,dengeli,threshold,critical,1.33,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Position.X,54,2,0.037037037037037035,5,0.9378571405555555,5.331302374088836,20.524343499999993,27.02733099999999
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Position.Y,55,0,0.0,2,1.0971975144444444,1.8228258573960416,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,channel_union,dengeli,k_of_n,critical,1.33,0.67,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Controls,16,3,0.1875,9,0.5049052622222222,17.825126164042356,5.327112999999959,13.028856999999903
