policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,1788,0.4235963041933191,1788,2433,28,63,13.65483608778109,1.983471074380165,7.368514728130284
advisory,4221,1711,0.4053541814735845,1711,2510,28,63,13.65483608778109,12.871002515271288,13.135178428406158
