outer_fold,validation_fold,epoch_cap,epoch,train_loss,validation_loss
0,4,12,1,0.6567314176332383,0.9320518842765264
0,4,12,2,0.3804255589133217,0.8987084201404026
0,4,12,3,0.335462463789043,0.8324166366032192
0,4,12,4,0.3029968678241684,0.9060955664941244
0,4,12,5,0.2810383180777231,0.8044972462313515
0,4,12,6,0.2602877485964979,1.141568707568305
0,4,12,7,0.2449624020783674,1.111603787967137
0,4,12,8,0.2537452420308476,0.9413372789110456
0,4,12,9,0.2236849393518198,0.9518043313707624
0,4,12,10,0.2086959235370159,1.0213700320039476
0,4,12,11,0.1973975242603393,0.997022100857326
0,4,12,12,0.1870874595074426,1.071359715291432
1,0,12,1,0.7100667983619242,0.8565334479014078
1,0,12,2,0.399297595105536,0.8169750918944677
1,0,12,3,0.3287124319480417,0.8931950206557909
1,0,12,4,0.2874672934005821,1.16877085963885
1,0,12,5,0.2886579962946026,0.7492970178524653
1,0,12,6,0.2425290407623098,0.8975244710842768
1,0,12,7,0.2217549420282488,1.1278181672096252
1,0,12,8,0.2216809665570493,1.1989692250887554
1,0,12,9,0.2108454868970998,1.0379910320043564
1,0,12,10,0.1910698909129275,1.5288352221250534
1,0,12,11,0.1826860873140598,1.166327863931656
1,0,12,12,0.1805178415172738,1.2012825806935628
2,1,12,1,0.6960354066100614,2.8686020487830755
2,1,12,2,0.3529234584549378,2.735208522705805
2,1,12,3,0.2414879347486742,2.650225673403059
2,1,12,4,0.2054933558250295,3.348376909891764
2,1,12,5,0.2431466170426073,3.1026413100106374
2,1,12,6,0.1723827494115665,3.840608585448492
2,1,12,7,0.1790376941191739,3.340340330487206
2,1,12,8,0.1591438788406808,3.5742259933834983
2,1,12,9,0.1552212862619038,3.3525884605589367
2,1,12,10,0.1357162717087515,3.015003726595924
2,1,12,11,0.1335169850623813,3.4391874131702243
2,1,12,12,0.1045567404992621,4.057991493315924
3,2,12,1,0.5995093938691656,2.7665810812087286
3,2,12,2,0.3046451564774167,2.6503083365304128
3,2,12,3,0.2593052041347466,2.906927619661604
3,2,12,4,0.241347401252006,2.677297978174119
3,2,12,5,0.2008562341915162,3.340507995514643
3,2,12,6,0.2003925519698825,3.0461281594775973
3,2,12,7,0.1879768680427327,3.562000830968221
3,2,12,8,0.1685584012273303,3.455472083318801
3,2,12,9,0.1639201373652705,3.584896303358532
3,2,12,10,0.1631466369638896,3.908309607278733
3,2,12,11,0.143896376932633,4.298232248851231
3,2,12,12,0.1536211315022167,3.608528352919079
4,3,12,1,0.6217600005463912,1.6001489063103993
4,3,12,2,0.337992515701514,1.2682903110980988
4,3,12,3,0.3021012164222506,1.5118066171805065
4,3,12,4,0.2706427176196415,1.4127239882946014
4,3,12,5,0.2634616598773461,1.6328263183434804
4,3,12,6,0.2483813317062763,1.2733920017878215
4,3,12,7,0.2269228804641618,1.5658049782117207
4,3,12,8,0.2273567285066327,1.3848550021648407
4,3,12,9,0.2196467402391135,1.46195982893308
4,3,12,10,0.2073734597696994,1.5401361385981245
4,3,12,11,0.1923918037926061,1.6862313052018485
4,3,12,12,0.1803786940156267,1.4449466466903689
