epoch,train_loss,validation_loss
1,10.805627986004477,9.206465721130371
2,7.55879461137872,7.143378734588623
3,6.119471750761333,6.72427225112915
4,5.3971341911115145,6.498103618621826
5,5.093354777285927,6.121191501617432
6,4.497609270246405,5.738931179046631
7,3.9288262881730733,5.2796854972839355
8,3.3888974754433883,4.960069179534912
9,3.0677851313038875,4.784336566925049
10,2.998850609126844,4.527406215667725
11,2.735820682425248,4.349199295043945
12,2.650051706715634,4.23262357711792
13,2.4839440270474085,4.066397666931152
14,2.2934224166368185,3.975376605987549
15,2.1615381021248665,3.825178384780884
16,2.034890243881627,3.7202892303466797
17,1.9530720208820544,3.6690073013305664
18,1.9424944990559627,3.590550661087036
19,1.8309270237621509,3.4960179328918457
20,1.8206520394275063,3.4311227798461914
21,1.7630415464702405,3.3519535064697266
22,1.7476997720567804,3.307070732116699
23,1.6817922686275684,3.147751808166504
24,1.652062554108469,3.122455358505249
25,1.6481310254649113,3.0618343353271484
