epoch,train_loss,validation_loss
1,10.204956441312223,9.002532958984375
2,6.8371956928356274,8.363070487976074
3,6.196853379945497,7.0075812339782715
4,5.235024400659509,6.283998489379883
5,4.5781008939485295,5.633199214935303
6,4.109558150574967,4.95693302154541
7,3.5729272816632247,4.316883563995361
8,3.225696202870962,3.900984764099121
9,2.880941152572632,3.616187572479248
10,2.763641898696487,3.3905882835388184
11,2.5414151823198474,3.2584023475646973
12,2.3881245303798364,3.150278091430664
13,2.253587548797195,3.007094383239746
14,2.1254774493140145,2.919421434402466
15,1.9799839902568508,2.89935564994812
16,1.9292316662298667,2.8199615478515625
17,1.8526942214450322,2.8022823333740234
18,1.8119750087325637,2.697439432144165
19,1.7786005993147154,2.6061880588531494
20,1.711023482116493,2.6306028366088867
21,1.6187919507155548,2.640011787414551
22,1.6132048626203794,2.5305938720703125
23,1.566294695879962,2.5216474533081055
24,1.5897945584477604,2.504828453063965
25,1.5294324642903097,2.5026633739471436
