policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,181,0.7637130801687764
advisory,HIL,Motor,744,649,0.8723118279569892
advisory,HIL,Propeller,387,373,0.9638242894056848
advisory,HIL,Sensor,552,330,0.5978260869565217
advisory,HIL,Voltage,30,13,0.43333333333333335
advisory,Real,Motor,196,46,0.23469387755102042
advisory,Real,Sensor,158,48,0.3037974683544304
advisory,SIL,Load,237,191,0.8059071729957806
advisory,SIL,Motor,744,678,0.9112903225806451
advisory,SIL,Propeller,354,337,0.9519774011299436
advisory,SIL,Sensor,552,286,0.5181159420289855
advisory,SIL,Voltage,30,10,0.3333333333333333
critical,HIL,Load,237,159,0.6708860759493671
critical,HIL,Motor,744,488,0.6559139784946236
critical,HIL,Propeller,387,335,0.8656330749354005
critical,HIL,Sensor,552,289,0.5235507246376812
critical,HIL,Voltage,30,8,0.26666666666666666
critical,Real,Motor,196,15,0.07653061224489796
critical,Real,Sensor,158,16,0.10126582278481013
critical,SIL,Load,237,174,0.7341772151898734
critical,SIL,Motor,744,635,0.853494623655914
critical,SIL,Propeller,354,324,0.9152542372881356
critical,SIL,Sensor,552,259,0.4692028985507246
critical,SIL,Voltage,30,11,0.36666666666666664
