epoch,train_loss,validation_loss
1,6.566712866331402,7.169288158416748
2,3.343325010098909,4.856807231903076
3,2.6571564536345633,4.215965747833252
4,2.236144705822593,3.6666057109832764
5,2.010130469422591,3.374117374420166
6,1.7966690590507106,3.1484079360961914
7,1.6471380472183228,3.0160157680511475
8,1.5684477065738878,2.852212905883789
9,1.4873166335256476,2.7693357467651367
10,1.4012322162327013,2.6890599727630615
11,1.3468109563777322,2.6118805408477783
12,1.3126691774318093,2.5292367935180664
13,1.2987558214288009,2.4605157375335693
14,1.2359851786964817,2.3817315101623535
15,1.1921663598010415,2.3508248329162598
16,1.150692678125281,2.2562005519866943
17,1.1522073118310225,2.2363152503967285
18,1.0895517349243165,2.217362642288208
19,1.069043891680868,2.1356565952301025
20,1.0390085966963516,2.1325151920318604
21,1.0327890659633436,2.055969715118408
22,1.0282627751952724,2.017315149307251
23,1.0067092136332862,2.0467753410339355
24,0.9615884354240016,1.9515851736068726
25,0.9740020005326522,1.926897406578064
