policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,184,0.7763713080168776
advisory,HIL,Motor,744,643,0.864247311827957
advisory,HIL,Propeller,387,382,0.9870801033591732
advisory,HIL,Sensor,552,353,0.6394927536231884
advisory,HIL,Voltage,30,15,0.5
advisory,Real,Motor,196,49,0.25
advisory,Real,Sensor,158,60,0.379746835443038
advisory,SIL,Load,237,173,0.729957805907173
advisory,SIL,Motor,744,684,0.9193548387096774
advisory,SIL,Propeller,354,304,0.8587570621468926
advisory,SIL,Sensor,552,267,0.483695652173913
advisory,SIL,Voltage,30,19,0.6333333333333333
critical,HIL,Load,237,163,0.6877637130801688
critical,HIL,Motor,744,575,0.7728494623655914
critical,HIL,Propeller,387,373,0.9638242894056848
critical,HIL,Sensor,552,303,0.5489130434782609
critical,HIL,Voltage,30,12,0.4
critical,Real,Motor,196,49,0.25
critical,Real,Sensor,158,60,0.379746835443038
critical,SIL,Load,237,159,0.6708860759493671
critical,SIL,Motor,744,611,0.821236559139785
critical,SIL,Propeller,354,346,0.9774011299435028
critical,SIL,Sensor,552,229,0.4148550724637681
critical,SIL,Voltage,30,13,0.43333333333333335
