fault_family,knn_family_agreement,knn_domain_agreement
NoFault,0.8852607709750566,0.9319727891156463
Motor,0.773021582733813,0.9502398081534772
Propeller,0.6511029411764706,0.9963235294117647
Sensor,0.8261489698890649,0.9673534072900158
Environment,0.7008356545961003,0.8846796657381616
