split,seed,architecture,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm,lstm_relerr,threshold,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_00,0,lstm,lstm_relerr,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,normal,0,0,,6,27.959377571111112,0.214597051910035,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,altitude_anomaly,114,0,0.0,1,1.4421181852777778,0.6934244434393441,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,normal,0,0,,26,27.959377571111112,0.9299205582768184,,
split_00,0,lstm,lstm_relerr,cusum,critical,altitude_anomaly,114,1,0.008771929824561403,5,1.4421181852777778,3.4671222171967204,18.013705999999985,18.013705999999985
split_00,0,lstm,lstm_relerr,cusum,critical,external_position_anomaly,185,5,0.02702702702702703,15,2.7663557002777774,5.422296199470591,71.18920800000001,111.07419599999997
split_00,0,lstm,lstm_relerr,cusum,critical,global_position_anomaly,51,17,0.3333333333333333,22,0.6878973927777778,31.981513857993356,28.03229023529413,72.99979399999998
split_00,0,lstm,lstm_relerr,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,lstm,lstm_relerr,cusum,critical,normal,0,0,,88,27.959377571111112,3.147423428013847,,
split_00,0,lstm,lstm_relerr,threshold,advisory,altitude_anomaly,114,2,0.017543859649122806,11,1.4421181852777778,7.627668877832785,1.5245179999999934,2.0330589999999944
split_00,0,lstm,lstm_relerr,threshold,advisory,external_position_anomaly,185,2,0.010810810810810811,4,2.7663557002777774,1.4459456531921577,41.48046150000002,59.90333900000002
split_00,0,lstm,lstm_relerr,threshold,advisory,global_position_anomaly,51,1,0.0196078431372549,2,0.6878973927777778,2.9074103507266686,71.986897,71.986897
split_00,0,lstm,lstm_relerr,threshold,advisory,mechanical_fault,43,0,0.0,1,1.299568493888889,0.7694861830695462,,
split_00,0,lstm,lstm_relerr,threshold,advisory,normal,0,0,,139,27.959377571111112,4.971498369249145,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,altitude_anomaly,114,6,0.05263157894736842,31,1.4421181852777778,21.496157746619666,6.351735833333336,14.029619999999994
split_00,0,lstm,lstm_relerr,k_of_n,advisory,external_position_anomaly,185,16,0.08648648648648649,75,2.7663557002777774,27.11148099735296,14.067180875000005,51.96623799999999
split_00,0,lstm,lstm_relerr,k_of_n,advisory,global_position_anomaly,51,20,0.39215686274509803,53,0.6878973927777778,77.04637429425672,13.751032799999996,49.949377999999996
split_00,0,lstm,lstm_relerr,k_of_n,advisory,mechanical_fault,43,0,0.0,25,1.299568493888889,19.237154576738654,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,normal,0,0,,390,27.959377571111112,13.948808374152275,,
split_00,0,lstm,lstm_relerr,cusum,advisory,altitude_anomaly,114,11,0.09649122807017543,36,1.4421181852777778,24.963279963816387,8.643905,35.07483500000001
split_00,0,lstm,lstm_relerr,cusum,advisory,external_position_anomaly,185,41,0.22162162162162163,68,2.7663557002777774,24.581076104266682,14.04003212195122,51.998351000000014
split_00,0,lstm,lstm_relerr,cusum,advisory,global_position_anomaly,51,29,0.5686274509803921,64,0.6878973927777778,93.0371312232534,14.103245586206903,46.03922900000009
split_00,0,lstm,lstm_relerr,cusum,advisory,mechanical_fault,43,2,0.046511627906976744,28,1.299568493888889,21.54561312594729,1.524808500000006,2.028726000000006
split_00,0,lstm,lstm_relerr,cusum,advisory,normal,0,0,,429,27.959377571111112,15.343689211567504,,
split_00,0,lstm,lstm_rankpct,threshold,critical,altitude_anomaly,114,2,0.017543859649122806,16,1.4421181852777778,11.094791095029505,1.4763524999999902,2.9527049999999804
split_00,0,lstm,lstm_rankpct,threshold,critical,external_position_anomaly,185,69,0.372972972972973,240,2.7663557002777774,86.75673919152946,6.07879843478261,36.023471000000015
split_00,0,lstm,lstm_rankpct,threshold,critical,global_position_anomaly,51,4,0.0784313725490196,3,0.6878973927777778,4.3611155260900025,17.554382750000002,41.060598
split_00,0,lstm,lstm_rankpct,threshold,critical,mechanical_fault,43,2,0.046511627906976744,7,1.299568493888889,5.386403281486823,21.055126,38.040696999999966
split_00,0,lstm,lstm_rankpct,threshold,critical,normal,0,0,,251,27.959377571111112,8.977310004903131,,
split_00,0,lstm,lstm_rankpct,k_of_n,critical,altitude_anomaly,114,2,0.017543859649122806,30,1.4421181852777778,20.80273330318032,0.45648049999999785,0.9129609999999957
split_00,0,lstm,lstm_rankpct,k_of_n,critical,external_position_anomaly,185,75,0.40540540540540543,175,2.7663557002777774,63.26012232715691,6.850471160000001,39.07885900000001
split_00,0,lstm,lstm_rankpct,k_of_n,critical,global_position_anomaly,51,3,0.058823529411764705,14,0.6878973927777778,20.35187245508668,18.68578533333333,34.996629
split_00,0,lstm,lstm_rankpct,k_of_n,critical,mechanical_fault,43,2,0.046511627906976744,11,1.299568493888889,8.464348013765008,28.996115499999974,38.040696999999966
split_00,0,lstm,lstm_rankpct,k_of_n,critical,normal,0,0,,275,27.959377571111112,9.83569821254327,,
split_00,0,lstm,lstm_rankpct,cusum,critical,altitude_anomaly,114,4,0.03508771929824561,9,1.4421181852777778,6.240819990954097,13.53069649999999,43.04319799999999
split_00,0,lstm,lstm_rankpct,cusum,critical,external_position_anomaly,185,40,0.21621621621621623,59,2.7663557002777774,21.327698384584327,18.966426725000005,86.99763399999995
split_00,0,lstm,lstm_rankpct,cusum,critical,global_position_anomaly,51,3,0.058823529411764705,8,0.6878973927777778,11.629641402906675,30.082095666666664,44.090149
split_00,0,lstm,lstm_rankpct,cusum,critical,mechanical_fault,43,0,0.0,2,1.299568493888889,1.5389723661390924,,
split_00,0,lstm,lstm_rankpct,cusum,critical,normal,0,0,,120,27.959377571111112,4.2919410382007,,
