epoch,train_loss,val_loss
1,20.797932505607605,7473.4013671875
2,8.46952325982206,6875.76171875
3,5.58638421402258,7363.4140625
4,4.29576536837746,6893.55322265625
5,2.9310595463303963,6457.61279296875
6,2.264544448431801,6445.6318359375
7,2.5907428334741027,7305.1328125
8,2.5606320325066054,7820.1767578125
9,2.552062174853157,7620.603515625
10,5.670118016355179,8276.33203125
11,4.535732016843909,8162.8359375
