policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,2138,0.5065150438284767,2138,2083,1,89,0.5585725368502715,0.6287527929512234,25.833979829325056
advisory,4221,2593,0.6143094053541814,2593,1628,16,74,8.937160589604344,2.580054564179158,33.28161365399534
