epoch,train_loss,validation_loss
1,9.898786637841201,3.403585195541382
2,7.337895323590534,3.3227925300598145
3,5.959824695819762,3.1275181770324707
4,4.804817458478416,2.9271469116210938
5,4.251099525428399,2.5583410263061523
6,3.9925269339142777,2.376110792160034
7,3.789382376321932,1.9348669052124023
8,3.247315337018269,1.8144890069961548
9,3.0419242600115335,1.731549620628357
10,2.9387494761769366,1.6213940382003784
11,2.7986843295213655,1.5218908786773682
12,2.5757629900443844,1.4272205829620361
13,2.5579986979321734,1.4151188135147095
14,2.379517523253836,1.3747665882110596
15,2.2844954489207847,1.4051707983016968
16,2.252171557124068,1.3649228811264038
17,2.1812010392910097,1.3903580904006958
18,2.122454377209268,1.325849175453186
19,2.0241273038270995,1.3027424812316895
20,1.965355932712555,1.321579933166504
21,1.953842439302584,1.3034874200820923
22,1.862107062848603,1.3039745092391968
23,1.8106229370687066,1.3158316612243652
24,1.8389447207857923,1.212371587753296
25,1.7701206192737673,1.1598347425460815
