candidate,rotation,policy,event_recall,all_nonfault_fa_per_hour,wind_fa_per_hour,real_motor_recall,real_sensor_recall,real_macro_recall,real_normal_fa_per_hour,real_normal_alarm_flight_rate
R3,0,critical,0.5361288794124615,2.75946319817473,33.38155991056162,0.2244897959183673,0.240506329113924,0.2324980625161457,15.98224195338513,0.3
R3,0,advisory,0.646529258469557,11.964859960835744,42.614757332631854,0.3520408163265306,0.3987341772151899,0.3753874967708602,59.93340732519423,0.85
R3,1,critical,0.4235963041933191,1.983471074380165,7.368514728130284,0.1071428571428571,0.1645569620253164,0.1358499095840868,0.0,0.0
R3,1,advisory,0.4053541814735845,12.871002515271288,13.135178428406158,0.1581632653061224,0.189873417721519,0.1740183415138207,0.0,0.0
R3,2,critical,0.4904051172707889,0.6721150545340664,26.29945694336695,0.2704081632653061,0.0,0.135204081632653,0.0,0.0
R3,2,advisory,0.6138355839848377,2.580054564179158,31.885182311869663,0.3622448979591837,0.0949367088607595,0.2285908034099716,0.0,0.0
R3,3,critical,0.7867803837953091,8.217242441260122,35.412205567451814,0.3571428571428571,0.379746835443038,0.3684448462929476,35.96004439511654,0.6
R3,3,advisory,0.7990997393982469,10.086773790329886,36.13490364025696,0.3112244897959184,0.3860759493670886,0.3486502195815035,47.94672586015538,0.9
R3,4,critical,0.7081260364842454,2.3774037587698573,36.68575995737312,0.2040816326530612,0.2974683544303797,0.2507749935417205,6.474820143884893,0.0909090909090909
R3,4,advisory,0.7647476901208244,5.321894652659131,40.28240309044892,0.2193877551020408,0.3544303797468354,0.2869090674244381,6.474820143884893,0.0909090909090909
