epoch,train_loss,val_loss
1,1.5784305477371583,247.65475463867188
2,1.2058425774941077,247.5730743408203
3,1.1161389752076223,247.51776123046875
4,1.0570680155203893,247.4651641845703
5,0.9884962339240772,247.45884704589844
6,0.9404782687242215,247.41336059570312
7,0.8842491902984105,247.40679931640625
8,0.8453287379099772,247.31295776367188
9,0.8277341585892898,247.30589294433594
10,0.7865979642822192,247.26116943359375
11,0.7631249189949952,247.2346954345703
12,0.7425213000522211,247.32908630371094
13,0.7637106776237488,247.25868225097656
14,0.7473837526944968,247.2450714111328
15,0.7177301562176301,247.21780395507812
16,0.7044707545294211,247.1822967529297
17,0.704379065392109,247.1986846923828
18,0.6923720825176972,247.21368408203125
19,0.6848611138187922,247.2305450439453
20,0.6852422379530393,247.1709442138672
21,0.6777514233612097,247.21795654296875
22,0.6647801963755717,247.15316772460938
23,0.6748790153517172,247.1692352294922
24,0.6550409859762742,247.16818237304688
25,0.6482551126525953,247.14224243164062
26,0.6643514736340597,247.12728881835938
27,0.6456788574846891,247.1300048828125
28,0.6422778548529515,247.1038055419922
29,0.6383746429704703,247.1001739501953
30,0.6271842007453625,247.119140625
31,0.6297339797019958,247.081298828125
32,0.6201132848285712,247.09182739257812
33,0.6291643237838378,247.10972595214844
34,0.6246014718826001,247.12342834472656
35,0.6140645510302141,247.0604248046875
36,0.6140972527746971,247.0780487060547
37,0.6067483032552096,247.08189392089844
38,0.6212684340201892,247.06881713867188
39,0.6084050028943099,247.06689453125
40,0.6126409385066766,247.0740509033203
