split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_relerr,k_of_n,advisory,Position.Y,96,23,0.23958333333333334,87,1.713746643611111,50.76596375802579,6.621697956521742,31.054261000000004
split_00,0,dense_ae,dense_ae_relerr,k_of_n,advisory,Position.Z,121,14,0.11570247933884298,82,1.5845958772222224,51.74820986139697,6.99555871428571,31.96318199999999
split_00,0,dense_ae,dense_ae_relerr,k_of_n,advisory,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,5.9986299999999915,6.002775000000042
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Actuator Controls,17,0,0.0,3,0.5114270366666666,5.86593939098944,,
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Actuator Outputs,25,0,0.0,4,0.7446180683333333,5.3718814652901665,,
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Actuator Outputs+Controls,42,0,0.0,7,1.2128293091666666,5.77162832980157,,
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Position.X,145,47,0.32413793103448274,103,2.3575775725,43.68891238254261,13.701620276595737,61.01619200000002
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Position.Y,96,44,0.4583333333333333,92,1.713746643611111,53.683547882050256,10.597751159090913,33.98957600000003
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Position.Z,121,9,0.0743801652892562,19,1.5845958772222224,11.99043887032369,29.3415831111111,72.98114900000002
split_00,0,dense_ae,dense_ae_relerr,cusum,advisory,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,9.046014999999954,10.055813999999941
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Actuator Controls,17,0,0.0,1,0.5114270366666666,1.9553131303298132,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Actuator Outputs,25,1,0.04,5,0.7446180683333333,6.714851831612708,3.9689970000000017,3.9689970000000017
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,6,1.2128293091666666,4.947109996972774,3.9689970000000017,3.9689970000000017
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Position.X,145,79,0.5448275862068965,84,2.3575775725,35.62979262265611,5.6266366835443025,28.972489000000024
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Position.Y,96,33,0.34375,46,1.713746643611111,26.841773941025128,8.142754666666669,62.948477000000025
