,Load,Motor,Propeller,Sensor,Voltage
Load,2029,0,10,429,67
Motor,434,18489,5843,1979,821
Propeller,442,25206,20,756,241
Sensor,886,458,0,10393,1918
Voltage,216,859,0,827,1
