policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
critical,4221,300,0.07107320540156362,300,3921,12,88,11.390507910074938,6.043368779551095,4.81798715203426
advisory,4221,1528,0.3619995261786307,1528,2693,18,82,14.388009991673604,7.7607289723012265,22.88543897216274
