epoch,train_loss,validation_loss
1,11.477805486092201,7.697842121124268
2,6.2462968459496135,7.558035850524902
3,6.072918121631329,7.259106636047363
4,5.6209830320798435,5.28025484085083
5,4.79652063204692,4.570397853851318
6,4.224070377074755,4.302725791931152
7,4.241536388030419,4.260023593902588
8,3.8833243204997134,3.9613661766052246
9,3.6095808927829447,3.7994446754455566
10,3.3610747135602512,3.660266876220703
11,3.1372807071759152,3.4271748065948486
12,3.0142521399718065,3.1034133434295654
13,2.831096043953529,2.9882702827453613
14,2.6864372675235453,2.907696008682251
15,2.568827908772689,2.83101224899292
16,2.4692769463245687,2.840291738510132
17,2.537965316038865,2.7012248039245605
18,2.355105083722335,2.715686798095703
19,2.253688550912417,2.5997843742370605
20,2.34239111496852,2.523723602294922
21,2.1089298954376807,2.5225799083709717
22,2.0434511991647573,2.4623165130615234
23,2.006378513116103,2.437150001525879
24,1.9373815243060772,2.4083383083343506
25,1.9825128867075994,2.380838394165039
