split,seed,architecture,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad,usad_relerr,threshold,critical,393,97,0.24681933842239187,277,34.15531734333333,8.11001101865232,5.399812371134021,65.10561899999999
split_00,0,usad,usad_relerr,k_of_n,critical,393,77,0.19592875318066158,233,34.15531734333333,6.82177822146567,6.782753571428567,67.10841199999999
split_00,0,usad,usad_relerr,cusum,critical,393,41,0.10432569974554708,77,34.15531734333333,2.2544073950766377,27.41882109756096,90.15150399999999
split_00,0,usad,usad_relerr,threshold,advisory,393,117,0.29770992366412213,624,34.15531734333333,18.26948330555613,5.153583692307692,60.09712000000002
split_00,0,usad,usad_relerr,k_of_n,advisory,393,99,0.25190839694656486,551,34.15531734333333,16.132187982951006,6.575589696969693,36.09170700000001
split_00,0,usad,usad_relerr,cusum,advisory,393,101,0.25699745547073793,414,34.15531734333333,12.121099500801662,11.942776752475245,96.04948300000001
split_00,0,usad,usad_rankpct,threshold,critical,393,80,0.2035623409669211,198,34.15531734333333,5.797047587339926,11.551122275000003,79.93473900000002
split_00,0,usad,usad_rankpct,k_of_n,critical,393,75,0.19083969465648856,259,34.15531734333333,7.583006692530509,11.387032600000003,70.9903250000001
split_00,0,usad,usad_rankpct,cusum,critical,393,36,0.0916030534351145,95,34.15531734333333,2.7814117211984493,25.783024805555563,86.157236
split_00,0,usad,usad_rankpct,threshold,advisory,393,135,0.3435114503816794,880,34.15531734333333,25.764655943733004,8.359504614814815,166.96193900000003
split_00,0,usad,usad_rankpct,k_of_n,advisory,393,99,0.25190839694656486,732,34.15531734333333,21.431509262286998,8.023487202020203,54.00396700000002
split_00,0,usad,usad_rankpct,cusum,advisory,393,110,0.27989821882951654,488,34.15531734333333,14.287672841524666,15.578195354545452,147.00708999999998
split_01,1,usad,usad_relerr,threshold,critical,393,113,0.2875318066157761,899,33.828754295833335,26.575025262184404,4.538089982300885,43.013206999999966
split_01,1,usad,usad_relerr,k_of_n,critical,393,107,0.272264631043257,558,33.828754295833335,16.494843266183423,5.998176644859813,53.98689999999999
split_01,1,usad,usad_relerr,cusum,critical,393,45,0.11450381679389313,201,33.828754295833335,5.941690853947792,26.97263368888889,92.16841899999999
split_01,1,usad,usad_relerr,threshold,advisory,393,96,0.24427480916030533,762,33.828754295833335,22.525216073175212,4.176328218749998,30.054137999999995
split_01,1,usad,usad_relerr,k_of_n,advisory,393,60,0.15267175572519084,543,33.828754295833335,16.051433500963437,5.472110033333327,32.057963
split_01,1,usad,usad_relerr,cusum,advisory,393,114,0.2900763358778626,687,33.828754295833335,20.30816724707529,11.784314535087717,43.013206999999966
split_01,1,usad,usad_rankpct,threshold,critical,393,106,0.2697201017811705,480,33.828754295833335,14.189112487039504,4.827534188679244,63.05880100000002
split_01,1,usad,usad_rankpct,k_of_n,critical,393,100,0.2544529262086514,543,33.828754295833335,16.051433500963437,5.786872769999998,54.047971000000075
split_01,1,usad,usad_rankpct,cusum,critical,393,47,0.11959287531806616,155,33.828754295833335,4.581900907273173,29.53833740425532,86.157236
split_01,1,usad,usad_rankpct,threshold,advisory,393,81,0.20610687022900764,762,33.828754295833335,22.525216073175212,4.406695740740738,30.054137999999995
split_01,1,usad,usad_rankpct,k_of_n,advisory,393,64,0.1628498727735369,505,33.828754295833335,14.928128762406145,5.944503203124994,32.057963
split_01,1,usad,usad_rankpct,cusum,advisory,393,115,0.2926208651399491,623,33.828754295833335,18.416285582136688,13.848599817391303,61.15348
split_02,2,usad,usad_relerr,threshold,critical,393,64,0.1628498727735369,250,34.3213765025,7.284090134956847,8.501048046875,70.11310600000002
split_02,2,usad,usad_relerr,k_of_n,critical,393,46,0.11704834605597965,173,34.3213765025,5.040590373390138,8.52950439130434,33.02845399999998
split_02,2,usad,usad_relerr,cusum,critical,393,45,0.11450381679389313,328,34.3213765025,9.556726257063383,20.685226177777768,76.12675899999999
split_02,2,usad,usad_relerr,threshold,advisory,393,95,0.24173027989821882,1362,34.3213765025,39.683723055244904,7.582141863157896,50.08316300000001
split_02,2,usad,usad_relerr,k_of_n,advisory,393,68,0.17302798982188294,714,34.3213765025,20.803361425436755,8.467908970588232,47.066843000000006
split_02,2,usad,usad_relerr,cusum,advisory,393,83,0.21119592875318066,1151,34.3213765025,33.53595098134132,11.088663313253006,35.015664999999984
split_02,2,usad,usad_rankpct,threshold,critical,393,72,0.183206106870229,273,34.3213765025,7.954226427372877,11.767616097222223,75.07794200000001
split_02,2,usad,usad_rankpct,k_of_n,critical,393,59,0.15012722646310434,192,34.3213765025,5.594181223646858,10.728073067796613,63.961658
split_02,2,usad,usad_rankpct,cusum,critical,393,45,0.11450381679389313,160,34.3213765025,4.661817686372382,29.946939800000003,92.85954500000003
split_02,2,usad,usad_rankpct,threshold,advisory,393,123,0.31297709923664124,757,34.3213765025,22.056224928649332,9.780939585365855,166.96193900000003
split_02,2,usad,usad_rankpct,k_of_n,advisory,393,89,0.22646310432569974,710,34.3213765025,20.686815983277445,8.606768213483145,54.00396700000002
split_02,2,usad,usad_rankpct,cusum,advisory,393,107,0.272264631043257,794,34.3213765025,23.134270268622945,13.667252878504671,44.13247000000001
split_03,3,usad,usad_relerr,threshold,critical,393,76,0.19338422391857507,109,34.67820707944444,3.143184414069951,10.141571513157897,156.03310699999997
split_03,3,usad,usad_relerr,k_of_n,critical,393,61,0.15521628498727735,148,34.67820707944444,4.267810030113328,11.653005377049176,67.10841199999999
split_03,3,usad,usad_relerr,cusum,critical,393,28,0.07124681933842239,39,34.67820707944444,1.124625616043377,36.90478842857142,87.000855
split_03,3,usad,usad_relerr,threshold,advisory,393,100,0.2544529262086514,505,34.67820707944444,14.562459900048855,4.951662390000001,31.045530999999983
split_03,3,usad,usad_relerr,k_of_n,advisory,393,89,0.22646310432569974,521,34.67820707944444,15.023844768169216,6.165774303370784,32.057963
