epoch,train_loss,val_loss,split,model
1,3.715123241597956,4.538622856140137,split_01,dense_ae
2,3.649974053556269,4.404802322387695,split_01,dense_ae
3,3.482055338946256,4.060829162597656,split_01,dense_ae
4,3.2054379799149255,3.617609977722168,split_01,dense_ae
5,2.9328717318448154,3.317652463912964,split_01,dense_ae
6,2.7888578826730903,3.18912672996521,split_01,dense_ae
7,2.724088116125627,3.1225273609161377,split_01,dense_ae
8,2.6841215030713514,3.0811846256256104,split_01,dense_ae
9,2.656924453648654,3.0518569946289062,split_01,dense_ae
10,2.6329566836357117,3.0202724933624268,split_01,dense_ae
11,2.6124605346809733,2.98760986328125,split_01,dense_ae
12,2.5873844731937754,2.949878215789795,split_01,dense_ae
13,2.5557450977238743,2.906698703765869,split_01,dense_ae
14,2.524365395307541,2.862565279006958,split_01,dense_ae
15,2.493267885663293,2.8207526206970215,split_01,dense_ae
16,2.4666039564392785,2.7976033687591553,split_01,dense_ae
17,2.445549791509455,2.7717573642730713,split_01,dense_ae
18,2.428539216518402,2.7594153881073,split_01,dense_ae
19,2.4170507897030222,2.743140697479248,split_01,dense_ae
20,2.4064092365178196,2.738830089569092,split_01,dense_ae
21,2.3984876329248603,2.727940559387207,split_01,dense_ae
22,2.3915629278529775,2.724330425262451,split_01,dense_ae
23,2.3858910257166084,2.722299098968506,split_01,dense_ae
24,2.379141016439958,2.717122793197632,split_01,dense_ae
25,2.375936825167049,2.713257312774658,split_01,dense_ae
26,2.3694803443821995,2.7086052894592285,split_01,dense_ae
27,2.3668267049572687,2.7092480659484863,split_01,dense_ae
28,2.364043723453175,2.7036166191101074,split_01,dense_ae
29,2.359970610250126,2.7108352184295654,split_01,dense_ae
30,2.356561988592148,2.7058775424957275,split_01,dense_ae
31,2.351753291758624,2.698796272277832,split_01,dense_ae
32,2.349032559178092,2.6934173107147217,split_01,dense_ae
33,2.3473389013247057,2.6942615509033203,split_01,dense_ae
34,2.344687209887938,2.689326524734497,split_01,dense_ae
35,2.339396197687496,2.6871259212493896,split_01,dense_ae
36,2.337486118078232,2.685943841934204,split_01,dense_ae
37,2.336222941225225,2.6790709495544434,split_01,dense_ae
38,2.3322591212662784,2.677346706390381,split_01,dense_ae
39,2.3301141424612566,2.67449688911438,split_01,dense_ae
40,2.32830392501571,2.672358512878418,split_01,dense_ae
