epoch,train_loss,validation_loss
1,11.189872034664813,10.526972770690918
2,7.118815898895264,9.403848648071289
3,6.0243968634769836,8.475289344787598
4,5.541311609333959,7.85579252243042
5,5.086814485747238,7.39243745803833
6,4.471744882649388,6.848368167877197
7,3.8121899407485436,6.487635612487793
8,3.457658866356159,5.900112152099609
9,2.966494683561654,5.54988431930542
10,2.7701630756772797,5.410234451293945
11,2.6376876502201476,5.17811393737793
12,2.4735843888644515,5.008330345153809
13,2.3768701717771332,4.919212818145752
14,2.2412686060214866,4.677440643310547
15,2.0725723052846976,4.6484055519104
16,1.9452541491080975,4.4587788581848145
17,1.7890211590405167,4.333741664886475
18,1.808419708547921,4.2409467697143555
19,1.74206254400056,4.152453422546387
20,1.6830114701698566,4.060076713562012
21,1.652041768205577,3.9846458435058594
22,1.663796457751044,3.927628517150879
23,1.532713635214444,3.883340358734131
24,1.5037621054156074,3.904667615890503
25,1.5376019436737587,3.8528904914855957
