split,seed,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae_itki_fusion,cusum,critical,Position.Y,96,1,0.010416666666666666,20,1.713746643611111,11.670336496097882,52.23017800000002,52.23017800000002
split_00,0,dense_ae_itki_fusion,cusum,critical,Position.Z,121,0,0.0,0,1.5845958772222224,0.0,,
split_00,0,dense_ae_itki_fusion,cusum,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,23.526607000000013,27.027106000000003
split_00,0,dense_ae_itki_fusion,threshold,advisory,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Actuator Outputs+Controls,42,0,0.0,0,1.2128293091666666,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Position.X,145,0,0.0,0,2.3575775725,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Position.Y,96,0,0.0,0,1.713746643611111,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Position.Z,121,0,0.0,0,1.5845958772222224,0.0,,
split_00,0,dense_ae_itki_fusion,threshold,advisory,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Actuator Outputs+Controls,42,0,0.0,0,1.2128293091666666,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Position.X,145,0,0.0,0,2.3575775725,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Position.Y,96,0,0.0,0,1.713746643611111,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Position.Z,121,0,0.0,0,1.5845958772222224,0.0,,
split_00,0,dense_ae_itki_fusion,k_of_n,advisory,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Actuator Controls,17,0,0.0,10,0.5114270366666666,19.553131303298134,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Actuator Outputs,25,0,0.0,22,0.7446180683333333,29.545348059095915,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Actuator Outputs+Controls,42,0,0.0,31,1.2128293091666666,25.560068317692668,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Actuator Thrust,2,0,0.0,3,0.06510427361111108,46.07992430604436,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Battery,2,0,0.0,2,0.06345890611111113,31.516458800884003,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Position.X,145,46,0.31724137931034485,122,2.3575775725,51.74803214242912,14.603259782608694,86.14136300000001
split_00,0,dense_ae_itki_fusion,cusum,advisory,Position.Y,96,25,0.2604166666666667,97,1.713746643611111,56.60113200607473,16.5571474,59.875586999999996
split_00,0,dense_ae_itki_fusion,cusum,advisory,Position.Z,121,0,0.0,57,1.5845958772222224,35.971316610971066,,
split_00,0,dense_ae_itki_fusion,cusum,advisory,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,5.489559999999983,5.9944849999999406
split_01,1,dense_ae_recon,threshold,critical,Actuator Controls,17,0,0.0,1,0.5114270366666666,1.9553131303298132,,
split_01,1,dense_ae_recon,threshold,critical,Actuator Outputs,25,1,0.04,3,0.7446180683333333,4.028911098967625,3.9689970000000017,3.9689970000000017
split_01,1,dense_ae_recon,threshold,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,4,1.2128293091666666,3.298073331315183,3.9689970000000017,3.9689970000000017
split_01,1,dense_ae_recon,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae_recon,threshold,critical,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_01,1,dense_ae_recon,threshold,critical,Position.X,145,60,0.41379310344827586,56,2.3575775725,23.75319508177074,3.738247799999998,28.051547
split_01,1,dense_ae_recon,threshold,critical,Position.Y,96,32,0.3333333333333333,40,1.713746643611111,23.340672992195763,3.9726293750000004,29.050435999999998
split_01,1,dense_ae_recon,threshold,critical,Position.Z,121,2,0.01652892561983471,4,1.5845958772222224,2.5243029200681453,16.057175000000015,24.99839300000002
split_01,1,dense_ae_recon,threshold,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,4.523490999999979,4.980281999999988
split_01,1,dense_ae_recon,k_of_n,critical,Actuator Controls,17,0,0.0,1,0.5114270366666666,1.9553131303298132,,
split_01,1,dense_ae_recon,k_of_n,critical,Actuator Outputs,25,0,0.0,4,0.7446180683333333,5.3718814652901665,,
split_01,1,dense_ae_recon,k_of_n,critical,Actuator Outputs+Controls,42,0,0.0,5,1.2128293091666666,4.122591664143979,,
split_01,1,dense_ae_recon,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae_recon,k_of_n,critical,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_01,1,dense_ae_recon,k_of_n,critical,Position.X,145,57,0.3931034482758621,61,2.3575775725,25.87401607121456,4.956638736842105,30.054802999999993
split_01,1,dense_ae_recon,k_of_n,critical,Position.Y,96,28,0.2916666666666667,43,1.713746643611111,25.091223466610447,5.913105250000005,31.054261000000004
split_01,1,dense_ae_recon,k_of_n,critical,Position.Z,121,0,0.0,7,1.5845958772222224,4.417530110119254,,
split_01,1,dense_ae_recon,k_of_n,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,6.505766499999993,7.008757999999943
split_01,1,dense_ae_recon,cusum,critical,Actuator Controls,17,1,0.058823529411764705,6,0.5114270366666666,11.73187878197888,12.001634999999993,12.001634999999993
split_01,1,dense_ae_recon,cusum,critical,Actuator Outputs,25,0,0.0,9,0.7446180683333333,12.086733296902874,,
split_01,1,dense_ae_recon,cusum,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,14,1.2128293091666666,11.54325665960314,12.001634999999993,12.001634999999993
split_01,1,dense_ae_recon,cusum,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae_recon,cusum,critical,Battery,2,0,0.0,2,0.06345890611111113,31.516458800884003,,
split_01,1,dense_ae_recon,cusum,critical,Position.X,145,22,0.15172413793103448,42,2.3575775725,17.814896311328056,33.31023940909092,83.149287
split_01,1,dense_ae_recon,cusum,critical,Position.Y,96,25,0.2604166666666667,38,1.713746643611111,22.173639342585975,17.900029640000003,60.88743600000004
split_01,1,dense_ae_recon,cusum,critical,Position.Z,121,1,0.008264462809917356,3,1.5845958772222224,1.8932271900511088,2.035617000000002,2.035617000000002
split_01,1,dense_ae_recon,cusum,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,24.03432600000002,27.027106000000003
split_01,1,dense_ae_recon,threshold,advisory,Actuator Controls,17,1,0.058823529411764705,13,0.5114270366666666,25.419070694287573,4.9832309999999325,4.9832309999999325
split_01,1,dense_ae_recon,threshold,advisory,Actuator Outputs,25,3,0.12,12,0.7446180683333333,16.1156443958705,1.6285276666666608,2.037154000000001
split_01,1,dense_ae_recon,threshold,advisory,Actuator Outputs+Controls,42,4,0.09523809523809523,22,1.2128293091666666,18.139403322233505,2.467203499999979,4.9832309999999325
split_01,1,dense_ae_recon,threshold,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae_recon,threshold,advisory,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_01,1,dense_ae_recon,threshold,advisory,Position.X,145,52,0.3586206896551724,114,2.3575775725,48.35471855931901,2.8385770384615365,28.051547
split_01,1,dense_ae_recon,threshold,advisory,Position.Y,96,25,0.2604166666666667,72,1.713746643611111,42.013211385952374,4.09112312,29.050435999999998
split_01,1,dense_ae_recon,threshold,advisory,Position.Z,121,7,0.05785123966942149,41,1.5845958772222224,25.874104930698486,11.002265714285707,30.02973399999999
split_01,1,dense_ae_recon,threshold,advisory,Velocity,2,1,0.5,1,0.0036470161111110933,274.1967596340949,4.066699999999969,4.066699999999969
split_01,1,dense_ae_recon,k_of_n,advisory,Actuator Controls,17,1,0.058823529411764705,17,0.5114270366666666,33.24032321560683,6.000157999999942,6.000157999999942
split_01,1,dense_ae_recon,k_of_n,advisory,Actuator Outputs,25,2,0.08,18,0.7446180683333333,24.17346659380575,1.9858834999999857,3.058141000000006
split_01,1,dense_ae_recon,k_of_n,advisory,Actuator Outputs+Controls,42,3,0.07142857142857142,32,1.2128293091666666,26.384586650521463,3.323974999999971,6.000157999999942
split_01,1,dense_ae_recon,k_of_n,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_01,1,dense_ae_recon,k_of_n,advisory,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_01,1,dense_ae_recon,k_of_n,advisory,Position.X,145,50,0.3448275862068966,103,2.3575775725,43.68891238254261,4.117186879999992,30.054802999999993
split_01,1,dense_ae_recon,k_of_n,advisory,Position.Y,96,26,0.2708333333333333,66,1.713746643611111,38.51211043712301,5.316031384615385,31.054261000000004
split_01,1,dense_ae_recon,k_of_n,advisory,Position.Z,121,6,0.049586776859504134,39,1.5845958772222224,24.611953470664414,14.173490333333328,31.96318199999999
split_01,1,dense_ae_recon,k_of_n,advisory,Velocity,2,1,0.5,1,0.0036470161111110933,274.1967596340949,6.002775000000042,6.002775000000042
split_01,1,dense_ae_recon,cusum,advisory,Actuator Controls,17,2,0.11764705882352941,18,0.5114270366666666,35.19563634593664,4.0148549999999545,4.9832309999999325
