policy,events,detected_events,event_recall,false_alarm_events,normal_exposure_hours,false_alarms_per_hour,median_detection_delay_s,flight_tp,flight_fn,flight_fp,flight_tn
critical,965,132,0.13678756476683937,34,13.977777777777778,2.4324324324324325,32.5,132,833,1,179
advisory,965,689,0.7139896373056995,190,13.977777777777778,13.593004769475357,18.0,689,276,59,121
