feature,category,auc,separation,q99_abs_ratio,n_pos,n_neg,pos_nonnull_frac,neg_nonnull_frac
gps_step_m,Position.Z,0.5726304952939063,0.5726304952939063,0.5229400534441998,12312,199812,0.9999187850239584,0.99906
gps_step_m,Position.Y,0.6943445661365011,0.6943445661365011,2.617257514098439,9749,199812,1.0,0.99906
gps_step_m,Position.X,0.6860747723767806,0.6860747723767806,9.73613186240586,9499,199812,0.9998947368421053,0.99906
gps_step_m,Actuator Outputs,0.6557423551379358,0.6557423551379358,0.5415709737897441,3468,199812,1.0,0.99906
gps_step_m,Actuator Outputs+Controls,0.6337077363377832,0.6337077363377832,0.5055436783440176,4739,199812,1.0,0.99906
gps_step_m,Actuator Controls,0.5735849527036926,0.5735849527036926,0.30435026012486843,1271,199812,1.0,0.99906
gps_step_m,Actuator Thrust,0.4266002520245137,0.5733997479754863,0.25221619097095405,113,199812,1.0,0.99906
gps_step_m,Battery,0.52500291450434,0.52500291450434,1.7126245416251369,51,199812,1.0,0.99906
gps_step_m,Velocity,0.04276577401030229,0.9572342259896978,1.1468371236091681,1193,199812,1.0,0.99906
gps_speed_calc_mps,Position.Z,0.5833771667719834,0.5833771667719834,0.6208129059440558,12312,199812,0.9999187850239584,0.99906
gps_speed_calc_mps,Position.Y,0.5549081743567849,0.5549081743567849,2.3412861800212266,9749,199812,1.0,0.99906
gps_speed_calc_mps,Position.X,0.6494969003888184,0.6494969003888184,2.670324189382649,9499,199812,0.9998947368421053,0.99906
gps_speed_calc_mps,Actuator Outputs,0.6660669203792049,0.6660669203792049,0.6008717903450125,3468,199812,1.0,0.99906
gps_speed_calc_mps,Actuator Outputs+Controls,0.6426089057159605,0.6426089057159605,0.5345686149520363,4739,199812,1.0,0.99906
gps_speed_calc_mps,Actuator Controls,0.5786023007968955,0.5786023007968955,0.36962192715578274,1271,199812,1.0,0.99906
gps_speed_calc_mps,Actuator Thrust,0.4381901288095766,0.5618098711904234,0.3195856843879264,113,199812,1.0,0.99906
gps_speed_calc_mps,Battery,0.5345592504012595,0.5345592504012595,2.1777344492095683,51,199812,1.0,0.99906
gps_speed_calc_mps,Velocity,0.042996300848027656,0.9570036991519724,1.4345426392989078,1193,199812,1.0,0.99906
log_gps_speed,Position.Z,0.5833771667719834,0.5833771667719834,0.7402434066590116,12312,199812,0.9999187850239584,0.99906
log_gps_speed,Position.Y,0.5549081743567849,0.5549081743567849,1.5620680086678693,9749,199812,1.0,0.99906
log_gps_speed,Position.X,0.6494969003888184,0.6494969003888184,1.6577836193181201,9499,199812,0.9998947368421053,0.99906
log_gps_speed,Actuator Outputs,0.6660669203792049,0.6660669203792049,0.7241411463889263,3468,199812,1.0,0.99906
log_gps_speed,Actuator Outputs+Controls,0.6426089057159605,0.6426089057159605,0.6683539077142082,4739,199812,1.0,0.99906
log_gps_speed,Actuator Controls,0.5786023007968955,0.5786023007968955,0.5114892415538593,1271,199812,1.0,0.99906
log_gps_speed,Actuator Thrust,0.4381901288095766,0.5618098711904234,0.45763851430189434,113,199812,1.0,0.99906
log_gps_speed,Battery,0.5345592504012595,0.5345592504012595,1.2611966883476668,51,199812,1.0,0.99906
log_gps_speed,Velocity,0.042996300848027656,0.9570036991519724,1.2248235268173913,1193,199812,1.0,0.99906
