policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,43,0,0.0
advisory,HIL,Motor,243,225,0.9259259259259259
advisory,HIL,Propeller,81,68,0.8395061728395061
advisory,HIL,Sensor,51,32,0.6274509803921569
advisory,Real,Motor,23,0,0.0
advisory,Real,Sensor,94,0,0.0
advisory,SIL,Motor,243,92,0.3786008230452675
advisory,SIL,Propeller,129,92,0.7131782945736435
advisory,SIL,Sensor,46,0,0.0
advisory,SIL,Voltage,12,3,0.25
critical,HIL,Load,43,0,0.0
critical,HIL,Motor,243,71,0.29218106995884774
critical,HIL,Propeller,81,9,0.1111111111111111
critical,HIL,Sensor,51,3,0.058823529411764705
critical,Real,Motor,23,0,0.0
critical,Real,Sensor,94,0,0.0
critical,SIL,Motor,243,3,0.012345679012345678
critical,SIL,Propeller,129,25,0.1937984496124031
critical,SIL,Sensor,46,0,0.0
critical,SIL,Voltage,12,0,0.0
